,NB,NC,NC-A,NC-B,NC-C,NC-D,ND,SA,SB,SC,SC-A,SC-B,SC-C,SC-D,SD
11.0,959,958,741,785,843,740,757,688,959,958,688,959,959,757,757
30.0,785,785,678,785,843,740,679,741,959,959,688,959,959,680,680
48.0,787,958,741,959,958,757,757,688,786,958,680,786,959,680,757
