,B01,B02,B03,B05,B06,B07,B08,B09,C01,C02,C03,C05,C06,C07,C08,C09,C10
3.0,425,389,389,389,389,389,389,401,425,398,399,254,252,254,254,252,262
8.0,425,389,389,389,389,389,389,401,425,398,399,254,252,254,254,252,262
11.0,425,389,389,389,389,389,389,401,425,398,399,254,252,254,254,252,262
