,1,2,3,4,5,6,7,8,C1,C2,C3,C4,C5,C6,C7,C8
5.0,18106,15972,16406,18106,18106,15115,15115,18133,18658,17101,15202,17681,18025,16288,14860,17974
14.0,18362,17945,15913,18376,18319,15728,15728,18254,18745,17299,15822,18419,18685,16898,15454,18660
23.0,18689,16929,16856,19227,18528,16643,16643,18498,18651,17441,16453,18855,18980,16707,15686,19024
