,A,AB,B,C,CD,D,E
4.0,12411498,27395381,12146482,11884850,27464360,9228222,9259800
10.0,12814118,26058365,12540220,12947670,26126328,12204346,9599436
17.0,13319253,20952540,13259678,16452300,26693160,12668832,10164231
