,NB,NC,NC-A,NC-B,NC-C,NC-D,ND,SA,SB,SC,SC-A,SC-B,SC-C,SC-D,SD
11.0,12615300,12586690,11421553,12133745,12437540,10998442,10992331,11167640,12586690,14563718,11874968,14349629,16043274,12151118,12181644
30.0,12657340,15360303,11846660,12865365,16859220,12059719,11295165,11774056,16349704,15380160,11241232,15440579,15617108,13243958,11237366
49.0,12902976,15755268,12121200,13457106,17007865,12617178,12985578,12756464,13179365,14273728,12236098,16416200,17452841,13429520,12985578
