,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4
2.0,235,365,380,285,375,350,330,305,350,375,305,330,270,380,345,235
3.0,235,365,380,285,375,350,330,305,350,375,305,330,270,380,345,235
4.0,235,365,380,285,375,350,330,305,350,375,305,330,270,380,345,235
