,NB,NC,NC-A,NC-B,NC-C,NC-D,ND,SA,SB,SC,SC-A,SC-B,SC-C,SC-D,SD
11.0,785,1043,678,961,1043,679,679,680,786,959,658,786,785,740,680
30.0,961,1043,691,961,1040,742,679,688,786,844,688,959,785,680,757
47.0,961,1043,741,785,1039,752,752,688,959,844,688,786,785,738,680
