,NB,NC,NC-A,NC-B,NC-C,NC-D,ND,SA,SB,SC,SC-A,SC-B,SC-C,SC-D,SD
11.0,12099205,14361378,12119055,12775875,12462912,11764520,11421616,11494040,11955060,14361378,11077950,14016744,15696912,11926580,11421616
30.0,12468155,12520750,10341534,13040590,16260134,12784980,11904380,11699649,15288378,15288378,11753001,13286910,16465071,13328140,11389320
48.0,13934622,15036768,11883824,14494179,14183380,12242204,13453404,13146822,13927920,15036768,11576850,12988610,13596985,12871271,13410198
