,1,2,3,4,5,6,7,8
5.0,5689860,5714373,5539762,5339763,5891638,5912403,5503842,5292573
14.0,6003012,5970363,5916922,5632341,6438722,6022527,5873369,5540535
23.0,6270030,6228768,5981129,5808660,6532388,6275619,6106849,5789784
