,A,B,C,D,E,F,G,H,J,K,L,M
5.0,482,591,593,593,591,428,428,591,593,593,483,482
14.0,482,591,593,593,591,428,428,591,593,593,483,482
23.0,482,591,593,593,591,428,428,591,593,593,483,482
