,NB,NC,NC-A,NC-B,NC-C,NC-D,ND,SA,SB,SC,SC-A,SC-B,SC-C,SC-D,SD
11.0,786,785,689,785,785,679,679,680,785,962,742,1039,962,686,757
30.0,785,959,740,785,959,679,679,742,1039,960,688,1039,962,742,686
49.0,786,958,740,786,959,679,757,742,785,844,677,1039,959,740,757
