,A,B,C,D,E,F,H
2.0,3899933,4665360,3923150,4769990,3921400,5460570,4665360
3.0,3918324,4687620,3941700,4792780,3941700,5477340,4687620
4.0,3936715,4709880,4107250,4816000,3960250,5493680,4709880
