,A,AB,B,C,D,E,EF,F,G,H,HJ,J
5.0,932,1396,467,466,735,1011,1641,682,990,450,1325,663
10.0,929,1396,467,466,735,1011,1641,682,990,450,1325,663
18.0,929,1396,467,466,735,1011,1641,682,990,450,1325,663
