,NB,NC,NC-A,NC-B,NC-C,NC-D,ND,SA,SB,SC,SC-A,SC-B,SC-C,SC-D,SD
11.0,15413,14991,16355,16275,14784,15898,15088,16903,15210,14991,14950,14616,16368,16117,15088
30.0,15883,15950,15253,16570,16973,17277,16087,15789,15942,15942,15861,16926,17169,18011,16749
48.0,17706,15696,17273,18417,18068,16172,17772,17742,17720,15696,17075,16546,17321,17003,18171
