,A,AB,B,C,D,E,EF,F,G,H,HJ,J
5.0,11676,11085,14033,14453,12066,11556,10715,12356,11508,13941,10883,14364
10.0,11971,11412,14483,15628,12411,11896,11031,12719,11847,15248,11201,14791
18.0,12523,11931,15165,16598,12939,12489,11533,13279,12394,16284,11716,15517
