,A,B,C,D,E,F,G,H,I,J
4.0,4651080,3800630,4247155,4899755,4684200,4893924,4458625,4485920,4753980,4807910
9.0,4725168,3901330,4453590,5104183,4785300,5149285,4564625,4579200,5096294,4913225
14.0,5369380,3964665,4537065,5140541,4868100,5179922,4668770,3975530,5454729,5025620
