,A,B,C,D,E,F,G,H,J,K,L,M
6.0,13890,13742,13194,13213,13634,14164,13387,13391,13397,13311,13391,13246
13.0,13846,13698,14016,13585,13583,13730,13730,13735,13779,13688,13735,13585
20.0,14196,14043,13634,13560,13602,13725,13725,13729,14278,13691,13729,13614
