,NB,NC,NC-A,NC-B,NC-C,NC-D,ND,SA,SB,SC,SC-A,SC-B,SC-C,SC-D,SD
11.0,16050,16034,16577,15457,15844,16198,16189,16423,16034,15139,16004,13811,16677,17713,16092
30.0,16124,16017,16009,16389,17580,17761,16635,15868,15736,16021,16339,14861,16234,17849,16381
49.0,16416,16446,16380,17121,17735,18582,17154,17192,16789,16912,18074,15800,18199,18148,17154
