,2A,2B,2C,2D,2E,2F,A,B,D,F
2.0,15337,15736,14784,15757,15552,14598,14804,15736,14723,14804
3.0,15326,16344,14845,15809,15929,14682,14865,15800,14783,14865
4.0,15389,15236,14906,15873,15679,14742,14925,15865,14844,14925
