,1,2,3,4,5,6,7,8,B1,B2,B3,B4,B5,B6,B7,B8
5.0,4071282,4584090,4528398,4071282,4048278,4610456,4616136,4071282,3857856,4273224,4272482,3717702,3995028,4241540,4572684,4033581
14.0,3821859,4015747,4104794,3867867,3867867,4182184,4182184,3867867,4005039,4221150,4345640,3869784,4141998,4324468,4179628,3888954
23.0,3946038,4601185,4257412,4022505,4022505,4484360,4546272,4103660,4150731,4235089,4450856,4006956,4161594,4635732,4464480,4040610
