,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9
7.0,4655820,4834128,4828794,5876080,5677630,4832604,4834128,4834128,4867275,4640199,4834128,4677918,5705070,5641370,4646295,4617720,4715256,4688967,5740840,5740840,4834128,4722114,4661916,4834128
18.0,4800219,4716018,4842129,5799640,5941740,4848606,4716018,4722876,4944999,4716018,4716018,4879086,5885880,5909400,4786884,4753356,4805553,4771263,5909890,5909890,4716018,4716018,4807839,4716018
28.0,4836414,4890516,4972431,5997600,6146560,4976241,4890516,4854321,5065395,4890516,4890516,4752975,6044150,6161260,4928235,4915281,4953762,4890516,6163710,6163710,4890516,4890516,4903089,4890516
