,A,AF,B,C,D,E,F
2.0,5955950,9379350,5687920,5839680,5839680,4592720,4792815
3.0,5980450,9417825,5730060,5863680,5863680,4612440,4812160
4.0,6004460,9456300,5672240,5887200,5887200,4632160,4831870
