,1,2,3,4,5,6,7,8,C1,C2,C3,C4,C5,C6,C7,C8
5.0,3856578,4200636,4495244,3856578,3856578,4292660,4292660,3862329,3974154,4497563,4165348,3766053,3839325,4625792,4220240,3828462
14.0,3911106,4719535,4360162,3914088,3901947,4466752,4466752,3888102,3992685,4549637,4335228,3923247,3979905,4799032,4388936,3974580
23.0,3980757,4452327,4618544,4095351,4076160,4726612,4726612,3940074,3972663,4586983,4508122,4016115,4042740,4744788,4454824,4052112
