,A,B,C,D,E,F,G,H,I
4.0,15151,16973,16850,14600,14980,16383,16530,15217,16460
9.0,15473,17347,17224,14936,15298,17408,16882,15502,17056
14.0,15722,17685,17291,15539,15539,17260,17236,15912,17732
