,A,B,C,D,E,F,G,H
6.0,15293,15134,16433,16162,15330,15206,16108,15807
16.0,15461,15623,17202,17191,15813,15850,17097,16473
25.0,16161,16215,17702,17908,17965,16745,17890,17090
