,1,2,3,4,5,6,7,8,B1,B2,B3,B4,B5,B6,B7,B8
5.0,19114,17430,16527,19114,19006,16234,16254,19114,18112,16248,15593,17454,18756,14935,16101,18937
14.0,17943,15269,14981,18159,18159,14726,14726,18159,18803,16050,15860,18168,19446,15227,14717,18258
23.0,18526,17495,15538,18885,18885,15790,16008,18653,19487,16103,16244,18812,19538,16323,15720,18970
