,A,B,C,D,E,F,G,H
4.0,16499,16124,15842,15946,16563,15639,16231,16798
10.0,16377,16745,16134,16121,16977,15883,16093,17020
17.0,16629,17358,16677,16854,17429,16050,16929,17671
