,A,B,C,D,E,F,G,H,J,K,L,M
5.0,5446728,7392819,7392819,7347903,7392819,5592248,5595244,7392819,7414279,7414279,6298568,6194182
14.0,5636760,7675908,7675908,7626264,7675908,5844768,5800256,7675908,7698326,7698326,6422934,6433736
23.0,5691972,7931220,7931220,7920582,7931220,6035656,5992000,7931220,7955095,7955095,6639318,6652564
