,NB,NC,NC-A,NC-B,NC-C,NC-D,ND,SA,SB,SC,SC-A,SC-B,SC-C,SC-D,SD
11.0,785,958,741,785,843,740,757,680,786,958,741,959,959,740,757
30.0,785,785,678,787,958,740,740,741,959,959,741,785,959,740,680
48.0,787,958,688,787,785,757,757,741,786,958,678,785,785,757,738
