,1,2,3,4,5,6,7,8,A1,A3,A4,A5,A6,A7,A8
5.0,3717702,4291108,4668138,3717702,3941352,4455676,4457664,3717702,3753699,4397700,3749226,3800772,4308564,4437216,3703431
14.0,3862542,4328717,4661836,3862542,3870636,4526960,4548544,3862542,3898965,4555250,3888741,3911532,4480100,4510772,3847845
23.0,4058928,4466529,4666220,4058928,4058928,4645388,4662144,4111113,4114308,4646218,4042740,4017819,4604776,4665268,3987573
