,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4
2.0,13644,14952,14863,12875,14830,15136,14097,12568,12184,14830,12568,15380,13106,14769,14441,13644
3.0,13700,15014,14924,12928,14891,15198,14348,12620,12235,14891,12620,14450,13160,14830,14509,13700
4.0,13756,15076,14986,12981,14953,15261,14420,12671,12285,14953,12671,15507,13214,14891,14577,13756
