,A,B,C,D,E,F,G
11.0,20269887,16445646,21080880,12697782,9575936,9584944,13173240
26.0,21309336,17454132,22319040,13685775,10049764,10119360,13796115
39.0,22914609,18523553,23785000,13978800,10708480,10846308,14603965
