,1,2,3,4,5,6,7,8
7.0,10397,10068,10206,10292,10286,10260,10236,10236
21.0,10848,10653,10819,10901,10908,10745,10848,10848
34.0,11371,11009,11268,11463,11465,11279,11371,11371
