,1,2,3,4,5,6,7,8,C1,C2,C3,C4,C5,C6,C7,C8
5.0,213,263,274,213,213,284,284,213,213,263,274,213,213,284,284,213
14.0,213,263,274,213,213,284,284,213,213,263,274,213,213,284,284,213
23.0,213,263,274,213,220,284,284,213,213,263,274,213,213,284,284,213
