,A,B,BC,C,D,E,F,G,H
5.0,11364,11357,9917,11437,11331,11059,11357,10793,11219
14.0,11810,11312,10337,12064,11818,11734,11740,11512,11434
22.0,12248,11833,10723,12459,12320,12336,12111,11928,11810
