,A,B,C,D,E,F,G,H,I,J
3.0,5501650,4627800,4644000,5303430,4660040,5201350,4533300,4588650,5303430,4851840
6.0,5544000,4681260,4465800,5405400,4751880,5503050,4594050,4722570,5405400,4910360
9.0,5611200,4473900,4717170,5470080,4809280,5448100,4641840,4798710,5470080,4968600
