,A01,A02,A03,A05,A06,A07,A08,A102,A106,A108,A206,A308,B,B01,B02,B03,B05,B06,B07,B08,B09,B10,B105,B106,B108,B109,B110,B202,B203,B205,B206,B209,B305,B306,B309,B502,B606,B610,C01,C02,C03,C05,C06,C07,C08,C101,C102,C103,C105,C202,C203,C207,C303,C305,C503,C601,C602,C606,C607,D,PH1,PH2,PH3,PH5
2.0,562,559,529,304,422,422,420,559,422,420,422,420,,417,418,418,418,418,418,418,313,321,418,418,418,313,321,418,418,418,418,313,418,418,313,418,418,321,325,418,418,541,403,313,321,325,418,418,541,418,418,313,418,541,418,325,418,403,313,,,,,
3.0,562,559,529,304,422,422,420,559,422,420,422,420,,417,418,418,418,418,418,418,313,321,418,418,418,313,321,418,418,418,418,313,418,418,313,418,418,321,325,418,418,541,403,313,321,325,418,418,541,418,418,313,418,541,418,325,418,403,313,,,,,
5.0,562,559,529,304,422,422,420,559,422,420,422,420,,417,418,418,418,418,418,418,313,321,418,418,418,313,321,418,418,418,418,313,418,418,313,418,418,321,325,418,418,541,403,313,321,325,418,418,541,418,418,313,418,541,418,325,418,403,313,,,,,
