,A,B,C,D,E,F,G,H,J,M
2.0,13849,12565,12038,11777,12060,12082,11777,11502,12094,12035
3.0,12636,12617,12083,11825,12105,12085,11825,11231,12139,12081
4.0,12656,13422,12131,11880,11913,12088,11880,11307,12187,11888
