,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
6.0/F低層A,6.0,低層,A,6129495,18297,335,359,4,NST
10.0/F中層A,10.0,中層,A,6236695,18617,335,397,4,NST
15.0/F高層A,15.0,高層,A,6355955,18973,335,372,4,NST
6.0/F低層B,6.0,低層,B,6032960,18853,320,358,4,NST
10.0/F中層B,10.0,中層,B,5930725,19445,305,372,4,NST
15.0/F高層B,15.0,高層,B,6009415,19703,305,362,4,NST
6.0/F低層C,6.0,低層,C,5792865,18993,305,399,4,NST
10.0/F中層C,10.0,中層,C,5934385,19457,305,324,3,NST
15.0/F高層C,15.0,高層,C,6059130,19866,305,325,3,NST
6.0/F低層D,6.0,低層,D,6193815,18489,335,391,4,NST
10.0/F中層D,10.0,中層,D,6262155,18693,335,364,3,NST
15.0/F高層D,15.0,高層,D,6253780,18668,335,320,3,NST
6.0/F低層E,6.0,低層,E,6154285,18371,335,370,4,NST
10.0/F中層E,10.0,中層,E,6229995,18597,335,383,4,NST
15.0/F高層E,15.0,高層,E,6352270,18962,335,383,4,NST
6.0/F低層F,6.0,低層,F,6057150,18355,330,316,4,NST
10.0/F中層F,10.0,中層,F,6158460,18662,330,330,4,NST
15.0/F高層F,15.0,高層,F,6281220,19034,330,330,4,NST
6.0/F低層G,6.0,低層,G,6019860,18242,330,344,4,NST
10.0/F中層G,10.0,中層,G,6120840,18548,330,364,4,NST
15.0/F高層G,15.0,高層,G,6217200,18840,330,336,3,NST
6.0/F低層H,6.0,低層,H,6271065,18177,345,317,4,NST
10.0/F中層H,10.0,中層,H,6222960,18576,335,342,4,NST
15.0/F高層H,15.0,高層,H,6347915,18949,335,345,4,NST
