,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,3584157.5,7577.5,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3556960.0,7520.0,473.0,3611355.0,7635.0,473.0,,0.008853681267474434,0.008853681267474434
2020-11-15,3552703.0,7511.0,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3525742.0,7454.0,473.0,3579664.0,7568.0,473.0,,-0.04507024346831101,-0.04507024346831101
2020-10-15,3720381.5,7865.5,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3692238.0,7806.0,473.0,3748525.0,7925.0,473.0,,0.012160597091751324,0.012160597091751324
2020-9-15,3675683.0,7771.0,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3647776.0,7712.0,473.0,3703590.0,7830.0,473.0,,0.0046541693600516965,0.0046541693600516965
2020-8-15,3658655.0,7735.0,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3630748.0,7676.0,473.0,3686562.0,7794.0,473.0,,-0.0342115120489449,-0.0342115120489449
2020-7-15,3788257.0,8009.0,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3759404.0,7948.0,473.0,3817110.0,8070.0,473.0,,0.017920691408235934,0.017920691408235934
2020-6-15,3721564.0,7868.0,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3693184.0,7808.0,473.0,3749944.0,7928.0,473.0,,-0.0101276970497578,-0.0101276970497578
2020-5-15,3759640.5,7948.5,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3731024.0,7888.0,473.0,3788257.0,8009.0,473.0,,0.014421542977474333,0.014421542977474333
2020-4-15,3706191.5,7835.5,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3678048.0,7776.0,473.0,3734335.0,7895.0,473.0,,-0.030199888606968206,-0.030199888606968206
2020-3-15,3821603.5,8079.5,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3792514.0,8018.0,473.0,3850693.0,8141.0,473.0,,0.02117037411526801,0.02117037411526801
2020-2-15,3742376.0,7912.0,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3713996.0,7852.0,473.0,3770756.0,7972.0,473.0,,0.00025284450063201014,0.00025284450063201014
2020-1-15,3741430.0,7910.0,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3713050.0,7850.0,473.0,3769810.0,7970.0,473.0,,-0.021705522231154517,-0.021705522231154517
2019-12-15,3824441.5,8085.5,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3795352.0,8024.0,473.0,3853531.0,8147.0,473.0,,-0.0005562422744128659,-0.0005562422744128659
2019-11-15,3826570.0,8090.0,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3797717.0,8029.0,473.0,3855423.0,8151.0,473.0,,0.03512251295502522,0.03512251295502522
2019-10-15,3696731.5,7815.5,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3668588.0,7756.0,473.0,3724875.0,7875.0,473.0,,-0.02476915398053403,-0.02476915398053403
2019-9-15,3790622.0,8014.0,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3761769.0,7953.0,473.0,3819475.0,8075.0,473.0,,0.011804810302380009,0.011804810302380009
2019-8-15,3746396.5,7920.5,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3717780.0,7860.0,473.0,3775013.0,7981.0,473.0,,-0.049159663865546266,-0.049159663865546266
2019-7-15,3940090.0,8330.0,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3910291.0,8267.0,473.0,3969889.0,8393.0,473.0,,0.017094017094017033,0.017094017094017033
2019-6-15,3873870.0,8190.0,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3844544.0,8128.0,473.0,3903196.0,8252.0,473.0,,-0.007994186046511587,-0.007994186046511587
2019-5-15,3905088.0,8256.0,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3875289.0,8193.0,473.0,3934887.0,8319.0,473.0,,0.028016436309301396,0.028016436309301396
2019-4-15,3798663.0,8031.0,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3769810.0,7970.0,473.0,3827516.0,8092.0,473.0,,0.023774619159921073,0.023774619159921073
2019-3-15,3710448.5,7844.5,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3682305.0,7785.0,473.0,3738592.0,7904.0,473.0,,0.05097802786709549,0.05097802786709549
2019-2-15,3530472.0,7464.0,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3503511.0,7407.0,473.0,3557433.0,7521.0,473.0,,0.017309527054654383,0.017309527054654383
2019-1-15,3470401.0,7337.0,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3443913.0,7281.0,473.0,3496889.0,7393.0,473.0,,0.03381710581936037,0.03381710581936037
2018-12-15,3356881.0,7097.0,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3331339.0,7043.0,473.0,3382423.0,7151.0,473.0,,-0.035537133926751396,-0.035537133926751396
2018-11-15,3480570.5,7358.5,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",3401343.0,7191.0,473.0,3559798.0,7526.0,473.0,,,
2018-10-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2018-9-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2018-8-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2018-7-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2018-6-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2018-5-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2018-4-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2018-3-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2018-2-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2018-1-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2017-12-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2017-11-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2017-10-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2017-9-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
2017-8-15,,,"KONG YIP HSE,CHIK CHUEN ST|綱業樓,積存街",,,473.0,,,473.0,,,
