,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4443745.0,14612.375,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4446300.0,14821.0,300.0,4093320.0,14619.0,280.0,4237480.0,16298.0,260.0,4263900.0,14213.0,300.0,4481820.0,14228.0,315.0,4794185.0,14311.0,335.0,4759010.0,14206.0,335.0,4473945.0,14203.0,315.0,,0.008798263105666226,0.008802285142260446
2020-11-15,4404988.75,14484.875,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4407300.0,14691.0,300.0,4057200.0,14490.0,280.0,4200300.0,16155.0,260.0,4226700.0,14089.0,300.0,4443075.0,14105.0,315.0,4752310.0,14186.0,335.0,4718140.0,14084.0,335.0,4434885.0,14079.0,315.0,,-0.04515889718280508,-0.04515528308572092
2020-10-15,4613321.25,15169.875,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4615800.0,15386.0,300.0,4249000.0,15175.0,280.0,4398420.0,16917.0,260.0,4426500.0,14755.0,300.0,4653495.0,14773.0,315.0,4976760.0,14856.0,335.0,4941920.0,14752.0,335.0,4644675.0,14745.0,315.0,,0.012090130189483572,0.012092503481807126
2020-9-15,4558211.875,14988.625,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4560600.0,15202.0,300.0,4198040.0,14993.0,280.0,4345640.0,16714.0,260.0,4373700.0,14579.0,300.0,4598055.0,14597.0,315.0,4917130.0,14678.0,335.0,4883295.0,14577.0,335.0,4589235.0,14569.0,315.0,,0.004646106963774432,0.004650032675905358
2020-8-15,4537131.875,14919.25,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4539600.0,15132.0,300.0,4178440.0000000005,14923.0,280.0,4325100.0,16635.0,260.0,4353300.0,14511.0,300.0,4576950.0,14530.0,315.0,4894015.0,14609.0,335.0,4861520.0,14512.0,335.0,4568130.0,14502.0,315.0,,-0.0360776543609207,-0.036099625274583325
2020-7-15,4706947.5,15478.0,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4770300.0,15901.0,300.0,4326560.0,15452.0,280.0,4478500.0,17225.0,260.0,4507800.0,15026.0,300.0,4739805.0,15047.0,315.0,5067545.0,15127.0,335.0,5034715.0,15029.0,335.0,4730355.0,15017.0,315.0,,0.01792553998151525,0.01792951505635343
2020-6-15,4624058.75,15205.375,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4686300.0,15621.0,300.0,4250120.0,15179.0,280.0,4399200.0,16920.0,260.0,4428300.0,14761.0,300.0,4656645.0,14783.0,315.0,4978100.0,14860.0,335.0,4946610.0,14766.0,335.0,4647195.0,14753.0,315.0,,-0.00952309807128282,-0.009510548729348312
2020-5-15,4668517.5,15351.375,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4707600.0,15692.0,300.0,4293800.0,15335.0,280.0,4444440.0,17094.0,260.0,4474200.0,14914.0,300.0,4705155.0,14937.0,315.0,5029355.0,15013.0,335.0,4998200.0,14920.0,335.0,4695390.0,14906.0,315.0,,0.013860034741705274,0.013860912062873654
2020-4-15,4604696.25,15141.5,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4644000.0,15480.0,300.0,4235000.0,15125.0,280.0,4383340.0,16859.0,260.0,4413000.0,14710.0,300.0,4640895.0,14733.0,315.0,4960345.0,14807.0,335.0,4929860.0,14716.0,335.0,4631130.0,14702.0,315.0,,-0.0303228364033028,-0.030323406980467538
2020-3-15,4748690.0,15615.0,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4791300.0,15971.0,300.0,4366600.0,15595.0,280.0,4520100.0,17385.0,260.0,4551900.0,15173.0,300.0,4785480.0,15192.0,315.0,5115115.0,15269.0,335.0,5083625.0,15175.0,335.0,4775400.0,15160.0,315.0,,0.020891043025766942,0.02088849661665204
2020-2-15,4651515.0,15295.5,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4695000.0,15650.0,300.0,4276720.0,15274.0,280.0,4427280.0,17028.0,260.0,4460400.0,14868.0,300.0,4686885.0,14879.0,315.0,5010260.0,14956.0,335.0,4978770.0,14862.0,335.0,4676805.0,14847.0,315.0,,8.237242251918353e-05,8.173006195133503e-05
