,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,10339206.833333334,19687.166666666668,6,62035241.0,118123.0,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",13300443.0,20061.0,663.0,12655344.0,19088.0,663.0,12755166.0,17642.0,723.0,9540216.0,19752.0,483.0,7301768.0,20396.0,358.0,6482304.0,21184.0,306.0,-0.0010420941528862526,-0.0010402043198078914
2019-11-15,10349992.5,19707.666666666668,6,62099955.0,118246.0,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",13315692.0,20084.0,663.0,12667278.0,19106.0,663.0,12766734.0,17658.0,723.0,9553257.0,19779.0,483.0,7308570.0,20415.0,358.0,6488424.0,21204.0,306.0,0.03456033777669831,0.034559389654931216
2019-10-15,10004242.5,19049.333333333332,6,60025455.0,114296.0,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",12871482.000000002,19414.0,663.0,12242295.0,18465.0,663.0,12339441.0,17067.0,723.0,9237375.0,19125.0,483.0,7063698.0,19731.0,358.0,6271164.0,20494.0,306.0,-0.039438615215916295,-0.039432547819948205
2019-9-15,10414995.5,19831.333333333332,6,62489973.0,118988.0,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",13401219.0,20213.0,663.0,12743523.0,19221.0,663.0,12844818.0,17766.0,723.0,9619911.0,19917.0,483.0,7352604.0,20538.0,358.0,6527898.0,21333.0,306.0,0.027450280485498135,0.027450370869276153
2019-8-15,10136739.166666666,19301.5,6,60820435.0,115809.0,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",13044525.0,19675.0,663.0,12401415.0,18705.0,663.0,12499947.0,17289.0,723.0,9366336.0,19392.0,483.0,7155346.0,19987.0,358.0,6352866.0,20761.0,306.0,-0.04925176711755874,-0.04924963877577826
2019-7-15,10661854.333333334,20301.333333333332,6,63971126.0,121808.0,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",13721448.0,20696.0,663.0,13041873.0,19671.0,663.0,13146309.0,18183.0,723.0,9855132.0,20404.0,483.0,7525160.0,21020.0,358.0,6681204.0,21834.0,306.0,0.016819183945519844,0.016829170562308038
2019-6-15,10485496.833333334,19965.333333333332,6,62912981.0,119792.0,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",13496028.0,20356.0,663.0,12824409.0,19343.0,663.0,12927963.0,17881.0,723.0,9695259.0,20073.0,483.0,7399502.0,20669.0,358.0,6569820.0,21470.0,306.0,-0.011575472314843238,-0.011576385164404623
2019-5-15,10608292.833333334,20199.166666666668,6,63649757.0,121195.0,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",13655148.0,20596.0,663.0,12972921.0,19567.0,663.0,13077624.0,18088.0,723.0,9812628.0,20316.0,483.0,7485422.0,20909.0,358.0,6646014.0,21719.0,306.0,,
2019-4-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2019-3-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
2019-2-15,,,6,,,3196,"THE PAVILIA FARM I,THE PAVILIA FARM,CHE KUNG MIU RD|柏傲莊 I(柏傲莊),車公廟路",,,663.0,,,663.0,,,723.0,,,483.0,,,358.0,,,306.0,,
