,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,10683850.25,18321.75,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",12032124.0,18148.0,663.0,12152127.0,18329.0,663.0,10092854.0,19298.0,523.0,8458296.0,17512.0,483.0,,0.008807287724482693,0.008795837462834522
2020-11-15,10590576.0,18162.0,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",11926044.0,17988.0,663.0,12045383.999999998,18168.0,663.0,10005513.0,19131.0,523.0,8385363.0,17361.0,483.0,,-0.04507357008164514,-0.0450727552348279
2020-10-15,11090462.75,19019.25,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",12489594.0,18838.0,663.0,12613575.0,19025.0,663.0,10477259.0,20033.0,523.0,8781423.0,18181.0,483.0,,0.012180061144898113,0.012187171538430741
2020-9-15,10957005.75,18790.25,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",12339756.0,18612.0,663.0,12462411.0,18797.0,663.0,10350693.0,19791.0,523.0,8675163.0,17961.0,483.0,,0.004723813310456126,0.004732177470022858
2020-8-15,10905490.25,18701.75,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",12282075.0,18525.0,663.0,12404730.0,18710.0,663.0,10301531.0,19697.0,523.0,8633625.0,17875.0,483.0,,-0.03419410253886823,-0.03418759279581696
2020-7-15,11291596.25,19363.75,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",12717666.0,19182.0,663.0,12844299.0,19373.0,663.0,10665539.0,20393.0,523.0,8938881.0,18507.0,483.0,,0.018025611986156598,0.018032937712761044
2020-6-15,11091662.25,19020.75,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",12492909.0,18843.0,663.0,12617553.0,19031.0,663.0,10476213.0,20031.0,523.0,8779974.0,18178.0,483.0,,-0.010172169427417277,-0.010160803497085813
2020-5-15,11205648.0,19216.0,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",12622194.0,19038.0,663.0,12748164.0,19228.0,663.0,10582905.0,20235.0,523.0,8869329.0,18363.0,483.0,,0.013992444903658141,0.013996807514214504
2020-4-15,11051017.25,18950.75,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",12448488.0,18776.0,663.0,12572469.0,18963.0,663.0,10436465.0,19955.0,523.0,8746647.0,18109.0,483.0,,-0.030093579455077735,-0.03008163369757144
2020-3-15,11393900.5,19538.5,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",12835680.0,19360.0,663.0,12963639.0,19553.0,663.0,10759156.0,20572.0,523.0,9017127.0,18669.0,483.0,,0.021145830357597983,0.021153720520023622
2020-2-15,11157956.25,19133.75,"THE PAVILIA FARM I(Block 2B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2B座(柏傲莊 I),車公廟路",12570480.0,18960.0,663.0,12695787.0,19149.0,663.0,10535835.0,20145.0,523.0,8829723.0,18281.0,483.0,,0.0003704334777725471,0.0003790552374978162
