,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4233574.125,14987.625,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4176630.0,14970.0,279.0,4404972.0,15402.0,286.0,4049910.0,15882.0,255.0,4007556.0,14364.0,279.0,4272606.0,15314.0,279.0,4182915.0,13805.0,303.0,4522881.0,14927.0,303.0,4251123.0,15237.0,279.0,,0.008876155530662677,0.00887703414502794
2020-11-15,4196326.875,14855.75,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4139802.0,14838.0,279.0,4366362.0,15267.0,286.0,4014210.0,15742.0,255.0,3972123.0,14237.0,279.0,4235220.0,15180.0,279.0,4146252.0,13684.0,303.0,4483188.0,14796.0,303.0,4213458.0,15102.0,279.0,,-0.043116898531033176,-0.04323884814477885
2020-10-15,4385412.25,15527.125,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4346541.0,15579.0,279.0,4607174.0,16109.0,286.0,4203930.0,16486.0,255.0,4118319.0,14761.0,279.0,4435263.0,15897.0,279.0,4264422.0,14074.0,303.0,4694985.0,15495.0,303.0,4412664.0,15816.0,279.0,,0.013381648337920105,0.013296679093215413
2020-9-15,4327503.125,15323.375,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4294089.0,15391.0,279.0,4551976.0,15916.0,286.0,4153440.0,16288.0,255.0,4068936.0,14584.0,279.0,4381974.0,15706.0,279.0,4213215.0,13905.0,303.0,4595904.0,15168.0,303.0,4360491.0,15629.0,279.0,,0.008216257629762858,0.008257733400228728
2020-8-15,4292237.0,15197.875,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4154031.0,14889.0,279.0,4530526.0,15841.0,286.0,4134060.0,16212.0,255.0,4049127.0,14513.0,279.0,4362165.0,15635.0,279.0,4193520.0,13840.0,303.0,4573785.0,15095.0,303.0,4340682.0,15558.0,279.0,,-0.03019583025873296,-0.030500446542485293
2020-7-15,4425880.125,15676.0,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4301064.0,15416.0,279.0,4712994.0,16479.0,286.0,4280685.0,16787.0,255.0,4190580.0,15020.0,279.0,4517010.0,16190.0,279.0,4342293.0,14331.0,303.0,4567725.0,15075.0,303.0,4494690.0,16110.0,279.0,,0.020625624594515335,0.020448350217665556
2020-6-15,4336438.375,15361.875,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4224897.0,15143.0,279.0,4630340.0,16190.0,286.0,4204950.0,16490.0,255.0,4114134.0,14746.0,279.0,4437774.0,15906.0,279.0,4265634.0,14078.0,303.0,4398045.0,14515.0,303.0,4415733.0,15827.0,279.0,,-0.010065589080410553,-0.010068871078174668
2020-5-15,4380531.0,15518.125,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4267305.0,15295.0,279.0,4678674.0,16359.0,286.0,4248300.0,16660.0,255.0,4154031.0,14889.0,279.0,4483809.0,16071.0,279.0,4309569.0,14223.0,303.0,4441071.0,14657.0,303.0,4461489.0,15991.0,279.0,,0.01678643214243314,0.01674856674856673
2020-4-15,4308211.5,15262.5,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4207041.0,15079.0,279.0,4523376.0,15816.0,286.0,4189905.0,16431.0,255.0,4094324.9999999995,14675.0,279.0,4422429.0,15851.0,279.0,4250484.0,14028.0,303.0,4377744.0,14448.0,303.0,4400388.0,15772.0,279.0,,-0.024868729142717427,-0.02481490651481144
2020-3-15,4418083.625,15650.875,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4335939.0,15541.0,279.0,4661800.0,16300.0,286.0,4320210.0,16942.0,255.0,4131152.9999999995,14807.0,279.0,4560255.0,16345.0,279.0,4382289.0,14463.0,303.0,4511064.0,14888.0,303.0,4441959.0,15921.0,279.0,,0.02121574265110726,0.021214296200838367
2020-2-15,4326298.0,15325.75,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4244706.0,15214.0,279.0,4565132.0,15962.0,286.0,4230705.0,16591.0,255.0,4044942.0,14498.0,279.0,4466232.0,16008.0,279.0,4291086.0,14162.0,303.0,4417134.0,14578.0,303.0,4350447.0,15593.0,279.0,,-0.0062192298551516645,-0.006297463994229369
2020-1-15,4353372.625,15422.875,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4241637.0,15203.0,279.0,4563416.0,15956.0,286.0,4229430.0,16586.0,255.0,4069494.0,14586.0,279.0,4465116.0,16004.0,279.0,4289571.0,14157.0,303.0,4415316.0,14572.0,303.0,4553001.0,16319.0,279.0,,-0.02016530003560968,-0.02027220175327149
2019-12-15,4442966.375,15742.0,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4333986.0,15534.0,279.0,4664374.0,16309.0,286.0,4323525.0,16955.0,255.0,4160169.0,14911.0,279.0,4564719.0,16361.0,279.0,4385016.0,14472.0,303.0,4456827.0,14709.0,303.0,4655115.0,16685.0,279.0,,-0.0047859061117146995,-0.00449784593494329
2019-11-15,4464332.25,15813.125,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4334823.0,15537.0,279.0,4666662.0,16317.0,286.0,4326075.0,16965.0,255.0,4162959.0,14921.0,279.0,4567788.0,16372.0,279.0,4539849.0,14983.0,303.0,4458039.0,14713.0,303.0,4658463.0,16697.0,279.0,,0.029764026225312046,0.029902631236159882
2019-10-15,4335296.375,15354.0,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4186116.0,15004.0,279.0,4643782.0,16237.0,286.0,4179450.0,16390.0,255.0,4022901.0,14419.0,279.0,4413222.0,15818.0,279.0,4389258.0,14486.0,303.0,4346535.0,14345.0,303.0,4501107.0,16133.0,279.0,,-0.02618310173116134,-0.025854138248263214
