,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,11512498.2,20564.8,5,57562491.0,102824.0,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18406740.0,22044.0,835.0,15240602.0,20213.0,754.0,9603061.0,18017.0,533.0,7637350.0,21821.0,350.0,6674738.0,20729.0,322.0,-0.0009242786138456971,-0.0009327633113097589
2019-11-15,11523148.8,20584.0,5,57615744.0,102920.0,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18422605.0,22063.0,835.0,15254928.0,20232.0,754.0,9612655.0,18035.0,533.0,7644700.0,21842.0,350.0,6680856.0,20748.0,322.0,0.034679498358514804,0.03467342240451998
2019-10-15,11136925.8,19894.2,5,55684629.0,99471.0,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",17803870.0,21322.0,835.0,14744470.0,19555.0,754.0,9290723.0,17431.0,533.0,7388500.0,21110.0,350.0,6457066.0,20053.0,322.0,-0.03932165391872422,-0.03933593448195927
2019-9-15,11592772.8,20708.8,5,57963864.0,103544.0,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18531155.0,22193.0,835.0,15348424.0,20356.0,754.0,9671285.0,18145.0,533.0,7691250.0,21975.0,350.0,6721750.0,20875.0,322.0,0.027604025606199345,0.027589218371640634
2019-8-15,11281361.8,20152.8,5,56406809.0,100764.0,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18031825.0,21595.0,835.0,14936740.0,19810.0,754.0,9411714.0,17658.0,533.0,7485100.0,21386.0,350.0,6541430.0,20315.0,322.0,-0.04913795627671791,-0.04914505718491691
2019-7-15,11864351.8,21194.4,5,59321759.0,105972.0,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18962850.0,22710.0,835.0,15708836.0,20834.0,754.0,9898343.0,18571.0,533.0,7872200.0,22492.0,350.0,6879530.0,21365.0,322.0,0.016966307681233195,0.016947200737001733
2019-6-15,11666415.8,20841.2,5,58332079.0,104206.0,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18644715.0,22329.0,835.0,15447198.0,20487.0,754.0,9733646.0,18262.0,533.0,7741300.0,22118.0,350.0,6765220.0,21010.0,322.0,-0.01144870393054176,-0.011459578424118155
2019-5-15,11801528.0,21082.8,5,59007640.0,105414.0,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18859310.0,22586.0,835.0,15626650.0,20725.0,754.0,9846642.0,18474.0,533.0,7831250.0,22375.0,350.0,6843788.0,21254.0,322.0,,
2019-4-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2019-3-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
2019-2-15,,,5,,,2794,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",,,835.0,,,754.0,,,533.0,,,350.0,,,322.0,,
