,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2020-12-15,9191144.8,20693.4,"THE PAVILIA FARM II(Block 6B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6B座(柏傲莊 II),車公廟路",12401231.0,18157.0,683.0,10311741.0,18513.0,557.0,6489602.0,24397.0,266.0,7503310.0,22465.0,334.0,9249840.0,19935.0,464.0,,0.008848818126599323,0.008853440458662876
2020-11-15,9110527.4,20511.8,"THE PAVILIA FARM II(Block 6B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6B座(柏傲莊 II),車公廟路",12292634.0,17998.0,683.0,10221506.999999998,18351.0,557.0,6432678.0,24183.0,266.0,7437178.0,22267.0,334.0,9168640.0,19760.0,464.0,,-0.04504782188646739,-0.045047813253629165
2020-10-15,9540297.0,21479.4,"THE PAVILIA FARM II(Block 6B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6B座(柏傲莊 II),車公廟路",12873184.0,18848.0,683.0,10702755.0,19215.0,557.0,6736450.0,25325.0,266.0,7787544.0,23316.0,334.0,9601552.0,20693.0,464.0,,0.012188083899759228,0.01218615697805947
2020-9-15,9425419.2,21220.8,"THE PAVILIA FARM II(Block 6B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6B座(柏傲莊 II),車公廟路",12718143.0,18621.0,683.0,10573531.0,18983.0,557.0,6655586.0,25021.0,266.0,7693356.0,23034.0,334.0,9486480.0,20445.0,464.0,,0.004746670550874743,0.0047441834038806086
2020-8-15,9380891.2,21120.6,"THE PAVILIA FARM II(Block 6B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6B座(柏傲莊 II),車公廟路",12658039.0,18533.0,683.0,10523401.0,18893.0,557.0,6624464.0,24904.0,266.0,7656616.0,22924.0,334.0,9441936.0,20349.0,464.0,,-0.03420589791282502,-0.034204292913126544
2020-7-15,9713137.8,21868.6,"THE PAVILIA FARM II(Block 6B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6B座(柏傲莊 II),車公廟路",13106770.0,19190.0,683.0,10895477.0,19561.0,557.0,6859342.0,25787.0,266.0,7927156.0,23734.0,334.0,9776944.0,21071.0,464.0,,0.01801443906125,0.018015417845970605
2020-6-15,9541257.4,21481.6,"THE PAVILIA FARM II(Block 6B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6B座(柏傲莊 II),車公廟路",12875233.0,18851.0,683.0,10702198.0,19214.0,557.0,6738312.0,25332.0,266.0,7786208.0,23312.0,334.0,9604336.0,20699.0,464.0,,-0.010134040896701224,-0.01013750138238656
2020-5-15,9638938.8,21701.6,"THE PAVILIA FARM II(Block 6B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6B座(柏傲莊 II),車公廟路",13007052.0,19044.0,683.0,10811370.0,19410.0,557.0,6807738.0,25593.0,266.0,7865366.0,23549.0,334.0,9703168.0,20912.0,464.0,,0.01397979740515054,0.013979740589840306
2020-4-15,9506046.2,21402.4,"THE PAVILIA FARM II(Block 6B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6B座(柏傲莊 II),車公廟路",12828106.0,18782.0,683.0,10661537.0,19141.0,557.0,6714106.0,25241.0,266.0,7756482.0,23223.0,334.0,9570000.0,20625.0,464.0,,-0.030090990001292783,-0.030090998078526665
2020-3-15,9800967.0,22066.4,"THE PAVILIA FARM II(Block 6B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6B座(柏傲莊 II),車公廟路",13226295.0,19365.0,683.0,10991838.0,19734.0,557.0,6922650.0,26025.0,266.0,7996628.0,23942.0,334.0,9867424.0,21266.0,464.0,,0.02116846321099275,0.021167106298301652
2020-2-15,9597796.4,21609.0,"THE PAVILIA FARM II(Block 6B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,6B座(柏傲莊 II),車公廟路",12952412.0,18964.0,683.0,10763468.0,19324.0,557.0,6779542.0,25487.0,266.0,7830296.0,23444.0,334.0,9663264.0,20826.0,464.0,,0.00036457068367679035,0.0003610910504971976
