,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2020-12-15,10929602.2,19454.2,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",13042232.000000002,19208.0,679.0,11931245.999999998,18819.0,634.0,9654003.0,20239.0,477.0,10718160.0,18870.0,568.0,9302370.0,20135.0,462.0,,0.00886547185570885,0.00886782276800524
2020-11-15,10833557.6,19283.2,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",12927481.0,19039.0,679.0,11826636.0,18654.0,634.0,9569097.0,20061.0,477.0,10624440.0,18705.0,568.0,9220134.0,19957.0,462.0,,-0.0450696521179077,-0.04507413313260766
2020-10-15,11344866.8,20193.4,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",13536544.0,19936.0,679.0,12385190.0,19535.0,634.0,10020816.0,21008.0,477.0,11125984.0,19588.0,568.0,9655800.0,20900.0,462.0,,0.012132023462396946,0.01212947462333469
2020-9-15,11208880.4,19951.4,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",13373584.0,19696.0,679.0,12236834.0,19301.0,634.0,9900612.0,20756.0,477.0,10993072.0,19354.0,568.0,9540300.0,20650.0,462.0,,0.004711212763104156,0.004703394098096503
2020-8-15,11156320.6,19858.0,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",13309758.0,19602.0,679.0,12179140.0,19210.0,634.0,9854343.0,20659.0,477.0,10941952.0,19264.0,568.0,9496410.0,20555.0,462.0,,-0.034262559116824076,-0.03426609475455433
2020-7-15,11552126.0,20562.6,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",13780984.0,20296.0,679.0,12611528.0,19892.0,634.0,10203984.0,21392.0,477.0,11330464.0,19948.0,568.0,9833670.0,21285.0,462.0,,0.017996271735067237,0.017990811517287764
2020-6-15,11347906.0,20199.2,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",13536544.0,19936.0,679.0,12388360.0,19540.0,634.0,10023678.0,21014.0,477.0,11130528.0,19596.0,568.0,9660420.0,20910.0,462.0,,-0.010204571860039868,-0.010211881847938864
2020-5-15,11464900.4,20407.6,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",13674381.0,20139.0,679.0,12516428.0,19742.0,634.0,10127187.0,21231.0,477.0,11245832.0,19799.0,568.0,9760674.0,21127.0,462.0,,0.013947008696795882,0.013941471654990822
2020-4-15,11307198.8,20127.0,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",13485619.0,19861.0,679.0,12343980.0,19470.0,634.0,9987903.0,20939.0,477.0,11091336.0,19527.0,568.0,9627156.0,20838.0,462.0,,-0.03013274073115435,-0.03013627339488456
2020-3-15,11658501.4,20752.4,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",13903883.0,20477.0,679.0,12727550.0,20075.0,634.0,10298430.0,21590.0,477.0,11436112.0,20134.0,568.0,9926532.0,21486.0,462.0,,0.021113132910297594,0.021108672761447345
2020-2-15,11417443.4,20323.4,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",13615308.0,20052.0,679.0,12464440.0,19660.0,634.0,10085211.0,21143.0,477.0,11200392.0,19719.0,568.0,9721866.0,21043.0,462.0,,0.0003121813036026655,0.00030516015986448153
2020-1-15,11413880.2,20317.2,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",13609876.0,20044.0,679.0,12460636.0,19654.0,634.0,10082349.0,21137.0,477.0,11196984.0,19713.0,568.0,9719556.0,21038.0,462.0,,-0.02174827092149223,-0.02175357503972264
2019-12-15,11667631.0,20769.0,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",13911352.0,20488.0,679.0,12737694.0,20091.0,634.0,10306539.0,21607.0,477.0,11446336.0,20152.0,568.0,9936234.0,21507.0,462.0,,-0.0005498177770291157,-0.0005582129486154663
2019-11-15,11674049.6,20780.6,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",13917463.0,20497.0,679.0,12744668.0,20102.0,634.0,10312263.0,21619.0,477.0,11453152.0,20164.0,568.0,9942702.0,21521.0,462.0,,0.03508897710820991,0.03508632111654575
2019-10-15,11278305.4,20076.2,"THE PAVILIA FARM II(Block 5A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,5A座(柏傲莊 II),車公廟路",13444879.0,19801.0,679.0,12312914.0,19421.0,634.0,9962622.0,20886.0,477.0,11065208.0,19481.0,568.0,9605904.0,20792.0,462.0,,-0.024786087804540946,-0.024792826401639823
