,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,nfa_avg,lumpSum_change,npsf_change
2022-12-15,72188444.83333333,36012.666666666664,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",99407574.0,37569.0,2646.0,111066195.0,41991.0,2645.0,51768354.0,33902.0,1527.0,55696040.0,33961.0,1640.0,54335034.0,33917.0,1602.0,60857472.0,34736.0,1752.0,,-0.11396644034991055,-0.11396692486539917
2022-11-15,81473714.0,40644.833333333336,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",112208922.0,42407.0,2646.0,125335970.0,47386.0,2645.0,58426074.0,38262.0,1527.0,62861200.0,38330.0,1640.0,61322958.0,38279.0,1602.0,68687160.0,39205.0,1752.0,,0.08787416752445076,0.087875273230138
2022-10-15,74892590.0,37361.666666666664,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",103162248.0,38988.0,2646.0,115195040.0,43552.0,2645.0,53704590.0,35170.0,1527.0,57783760.0,35234.0,1640.0,56369574.0,35187.0,1602.0,63140328.0,36039.0,1752.0,,0.09882516289604037,0.09882407148704209
2022-9-15,68156966.66666667,34001.5,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",93895956.0,35486.0,2646.0,104821350.0,39630.0,2645.0,48873162.00000001,32006.0,1527.0,52588240.0,32066.0,1640.0,51299244.0,32022.0,1602.0,57463848.0,32799.0,1752.0,,-0.12085866332842943,-0.1208592790502252
2022-8-15,77526745.5,38675.833333333336,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",106819020.0,40370.0,2646.0,119215440.00000001,45072.0,2645.0,55590435.0,36405.0,1527.0,59817360.0,36474.0,1640.0,58352850.0,36425.0,1602.0,65365368.0,37309.0,1752.0,,-0.09267898837360078,-0.09308878588680358
2022-7-15,85445773.33333333,42645.666666666664,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",117559134.0,44429.0,2646.0,131112650.0,49570.0,2645.0,61171620.0,40060.0,1527.0,65824680.0,40137.0,1640.0,65076443.99999999,40622.0,1602.0,71930112.0,41056.0,1752.0,,0.008491560968952427,0.008799804448790027
2022-6-15,84726314.66666667,42273.666666666664,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",116887050.0,44175.0,2646.0,130231865.0,49237.0,2645.0,61820595.0,40485.0,1527.0,63223640.0,38551.0,1640.0,64690362.0,40381.0,1602.0,71504376.0,40813.0,1752.0,,-0.01410449083224008,-0.013484553243954922
2022-5-15,85938432.5,42851.5,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",118792170.0,44895.0,2646.0,132366380.0,50044.0,2645.0,61796163.0,40469.0,1527.0,64263400.00000001,39185.0,1640.0,65741274.0,41037.0,1602.0,72671208.0,41479.0,1752.0,,0.1110009931794016,0.11040138892487894
2022-4-15,77352255.33333333,38591.0,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",106628508.0,40298.0,2646.0,118839850.0,44930.0,2645.0,55475910.0,36330.0,1527.0,59697640.0,36401.0,1640.0,58235903.99999999,36352.0,1602.0,65235720.0,37235.0,1752.0,,-0.12369673987949004,-0.12369858192263583
2022-3-15,88271103.0,44038.5,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",121663080.0,45980.0,2646.0,135630310.0,51278.0,2645.0,63309420.00000001,41460.0,1527.0,68123960.0,41539.0,1640.0,66457368.00000001,41484.0,1602.0,74442480.0,42490.0,1752.0,,0.030104048000031414,0.030104206869934425
2022-2-15,85691443.66666667,42751.5,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",118093626.0,44631.0,2646.0,131681325.0,49785.0,2645.0,61460223.0,40249.0,1527.0,66132999.99999999,40325.0,1640.0,64515744.0,40272.0,1602.0,72264744.0,41247.0,1752.0,,0.00752258115983917,0.00752177977485724
2022-1-15,85051635.83333333,42432.333333333336,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",117196632.0,44292.0,2646.0,130713255.00000001,49419.0,2645.0,61003650.0,39950.0,1527.0,65639360.0,40024.0,1640.0,64033542.0,39971.0,1602.0,71723376.0,40938.0,1752.0,,-0.05430688640146586,-0.05430623964578363
2021-12-15,89935767.33333333,44869.0,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",123909534.0,46829.0,2646.0,138238280.0,52264.0,2645.0,64509642.0,42246.0,1527.0,69406440.0,42321.0,1640.0,67710132.0,42266.0,1602.0,75840576.0,43288.0,1752.0,,0.030287586590430626,0.03028702640642944
2021-11-15,87291906.16666667,43550.0,"BISNEY CREST,BISNEY RD|碧麗軒,碧荔道",120250116.0,45446.0,2646.0,134191429.99999999,50734.0,2645.0,62614635.0,41005.0,1527.0,67366280.0,41077.0,1640.0,65720448.00000001,41024.0,1602.0,73608528.0,42014.0,1752.0,,0.0031323653475083812,0.0031326300271801166
