,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_G,npsf_G,nfa_G,lumpSum_J,npsf_J,nfa_J,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5293787.428571428,24273.0,"LARCHWOOD,LARCH ST|LARCHWOOD,洋松街",6562500.0,26250.0,250.0,5499900.0,26190.0,210.0,5505969.0,27123.0,203.0,4228287.0,20829.0,203.0,5572776.0,27588.0,202.0,4559398.0,22133.0,206.0,5127682.0,19798.0,259.0,,0.09356723040750103,0.09356134230952406
2022-11-15,4840843.142857143,22196.285714285714,"LARCHWOOD,LARCH ST|LARCHWOOD,洋松街",5999750.0,23999.0,250.0,5029710.0,23951.0,210.0,5035415.0,24805.0,203.0,3866744.0,19048.0,203.0,5095854.0,25227.0,202.0,4169233.9999999995,20239.0,206.0,4689195.0,18105.0,259.0,,-0.0028720405052992115,-0.005249881557550351
2022-10-15,4854786.285714285,22313.428571428572,"LARCHWOOD,LARCH ST|LARCHWOOD,洋松街",5438500.0,21754.0,250.0,5197290.0,24749.0,210.0,5203296.0,25632.0,203.0,3995649.0000000005,19683.0,203.0,5265332.0,26066.0,202.0,4037806.0,19601.0,206.0,4845631.0,18709.0,259.0,,-0.08496357316169545,-0.08496341470558932
2022-9-15,5305566.142857143,24385.285714285714,"LARCHWOOD,LARCH ST|LARCHWOOD,洋松街",5943000.0,23772.0,250.0,5680500.0,27050.0,210.0,5687248.0,28016.0,203.0,4367139.0,21513.0,203.0,5754172.0,28486.0,202.0,4410872.000000001,21412.0,206.0,5296032.0,20448.0,259.0,,-0.05277979782532671,-0.05280943766854962
2022-8-15,5601196.142857143,25744.85714285714,"LARCHWOOD,LARCH ST|LARCHWOOD,洋松街",6248250.0,24993.0,250.0,6017760.0,28656.0,210.0,6025040.0,29680.0,203.0,4626573.0,22791.0,203.0,6095350.0,30175.0,202.0,4584942.0,22257.0,206.0,5610458.0,21662.0,259.0,,0.024110537064179205,0.02411774734329719
2022-7-15,5469327.714285715,25138.571428571428,"LARCHWOOD,LARCH ST|LARCHWOOD,洋松街",6102500.0,24410.0,250.0,5876010.0,27981.0,210.0,5883143.0,28981.0,203.0,4517359.0,22253.0,203.0,5951122.0,29461.0,202.0,4476792.0,21732.0,206.0,5478368.0,21152.0,259.0,,-0.029556292007298368,-0.029548663195976377
2022-6-15,5635904.142857143,25904.0,"LARCHWOOD,LARCH ST|LARCHWOOD,洋松街",6290000.0,25160.0,250.0,6054720.0,28832.0,210.0,6062189.0,29863.0,203.0,4654790.0,22930.0,203.0,6131508.0,30354.0,202.0,4612958.0,22393.0,206.0,5645164.0,21796.0,259.0,,0.014899587493874211,0.014904989785352596
2022-5-15,5553164.285714285,25523.571428571428,"LARCHWOOD,LARCH ST|LARCHWOOD,洋松街",6199000.0,24796.0,250.0,5965680.0,28408.0,210.0,5973072.0,29424.0,203.0,4586379.0,22593.0,203.0,6040810.0,29905.0,202.0,4545184.0,22064.0,206.0,5562025.0,21475.0,259.0,,-0.008684812741176717,-0.008677848736884819
2022-4-15,5601815.0,25747.0,"LARCHWOOD,LARCH ST|LARCHWOOD,洋松街",6254750.0,25019.0,250.0,6017760.0,28656.0,210.0,6025446.0,29682.0,203.0,4626370.0,22790.0,203.0,6092926.0,30163.0,202.0,4584736.0,22256.0,206.0,5610717.0,21663.0,259.0,,0.024556194101884588,0.024563976624144335
2022-3-15,5467552.714285715,25129.714285714286,"LARCHWOOD,LARCH ST|LARCHWOOD,洋松街",6106250.0,24425.0,250.0,5873280.0,27968.0,210.0,5880910.0,28970.0,203.0,4515329.0,22243.0,203.0,5946072.0,29436.0,202.0,4474732.0,21722.0,206.0,5476296.0,21144.0,259.0,,-0.05747062549239279,-0.05746572149619833
2022-2-15,5800936.142857143,26661.85714285714,"LARCHWOOD,LARCH ST|LARCHWOOD,洋松街",6480000.0,25920.0,250.0,6231330.0,29673.0,210.0,6239408.0,30736.0,203.0,4790597.0,23599.0,203.0,6307854.0,31227.0,202.0,4747476.0,23046.0,206.0,5809888.0,22432.0,259.0,,-0.011333788874211437,-0.011325892218614131
