,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_R,npsf_R,nfa_R,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6229883.416666667,21743.75,"THE QUINN•SQUARE MILE(Block 1),SHAM MONG RD|利奧坊•壹隅1座,深旺道",9629721.0,21543.0,447.0,6517152.0,22629.0,288.0,5974056.0,22629.0,264.0,5346075.0,20965.0,255.0,5744312.0,21434.0,268.0,5818605.0,21957.0,265.0,5509680.0,20870.0,264.0,8548560.0,22320.0,383.0,5642511.000000001,21133.0,267.0,4432296.0,21516.0,206.0,5803335.0,22235.0,261.0,5792297.999999999,21694.0,267.0,,0.09365285895803899,0.09366747981792112
2022-11-15,5696399.333333333,19881.5,"THE QUINN•SQUARE MILE(Block 1),SHAM MONG RD|利奧坊•壹隅1座,深旺道",8806347.0,19701.0,447.0,5958720.0,20690.0,288.0,5462952.0,20693.0,264.0,4888860.0,19172.0,255.0,5252799.999999999,19600.0,268.0,5320935.0,20079.0,265.0,5038968.0,19087.0,264.0,7818179.0,20413.0,383.0,5160309.0,19327.0,267.0,4053256.0,19676.0,206.0,5303259.0,20319.0,261.0,5292207.0,19821.0,267.0,,-0.03230231886591384,-0.03230673756707758
2022-10-15,5886548.5,20545.25,"THE QUINN•SQUARE MILE(Block 1),SHAM MONG RD|利奧坊•壹隅1座,深旺道",9100026.0,20358.0,447.0,6156000.0,21375.0,288.0,5645112.0,21383.0,264.0,5051805.000000001,19811.0,255.0,5427536.0,20252.0,268.0,5498219.999999999,20748.0,265.0,5207400.0,19725.0,264.0,8079002.0,21094.0,383.0,5332257.0,19971.0,267.0,4188392.0,20332.0,206.0,5483871.0,21011.0,261.0,5468961.0,20483.0,267.0,,-0.08468283020869039,-0.08465722400638587
2022-9-15,6431157.083333333,22445.416666666668,"THE QUINN•SQUARE MILE(Block 1),SHAM MONG RD|利奧坊•壹隅1座,深旺道",9946197.0,22251.0,447.0,6726816.0,23357.0,288.0,6169680.0,23370.0,264.0,5521515.0,21653.0,255.0,5901092.0,22019.0,268.0,6009405.0,22677.0,265.0,5691840.0,21560.0,264.0,8830065.0,23055.0,383.0,5828076.0,21828.0,267.0,4577732.0,22222.0,206.0,5993604.0,22964.0,261.0,5977863.0,22389.0,267.0,,-0.05409689149011487,-0.05396054905376735
2022-8-15,6798959.666666667,23725.666666666668,"THE QUINN•SQUARE MILE(Block 1),SHAM MONG RD|利奧坊•壹隅1座,深旺道",10536684.0,23572.0,447.0,7124832.0,24739.0,288.0,6535848.0,24757.0,264.0,5849445.0,22939.0,255.0,6088692.0,22719.0,268.0,6366095.0,24023.0,265.0,6028968.0,22837.0,264.0,9354775.0,24425.0,383.0,6174108.0,23124.0,267.0,4849652.0,23542.0,206.0,6344910.0,24310.0,261.0,6333507.0,23721.0,267.0,,0.024144499175519085,0.02414423229111229
2022-7-15,6638672.25,23166.333333333332,"THE QUINN•SQUARE MILE(Block 1),SHAM MONG RD|利奧坊•壹隅1座,深旺道",10288152.0,23016.0,447.0,6956352.0,24154.0,288.0,6381408.0,24172.0,264.0,5711490.0,22398.0,255.0,5947188.0,22191.0,268.0,6215840.0,23456.0,265.0,5886144.0,22296.0,264.0,9134167.0,23849.0,383.0,6028593.0,22579.0,267.0,4735116.0,22986.0,206.0,6195096.0,23736.0,261.0,6184521.0,23163.0,267.0,,-0.029449548968660144,-0.029441851209200176
2022-6-15,6840110.416666667,23869.083333333332,"THE QUINN•SQUARE MILE(Block 1),SHAM MONG RD|利奧坊•壹隅1座,深旺道",10601499.0,23717.0,447.0,7168032.0,24889.0,288.0,6575448.0,24907.0,264.0,5885145.0,23079.0,255.0,6130500.0,22875.0,268.0,6405050.0,24170.0,265.0,6064872.0,22973.0,264.0,9412225.0,24575.0,383.0,6212289.0,23267.0,267.0,4879316.0,23686.0,206.0,6383538.0,24458.0,261.0,6363411.0,23833.0,267.0,,0.014851433427927274,0.014845574141064688
2022-5-15,6740011.583333333,23519.916666666668,"THE QUINN•SQUARE MILE(Block 1),SHAM MONG RD|利奧坊•壹隅1座,深旺道",10445496.0,23368.0,447.0,7062624.0,24523.0,288.0,6478560.0,24540.0,264.0,5798700.0,22740.0,255.0,6042596.0,22547.0,268.0,6310710.0,23814.0,265.0,5975112.0,22633.0,264.0,9273962.0,24214.0,383.0,6120975.0,22925.0,267.0,4807422.0,23337.0,206.0,6293754.0,24114.0,261.0,6270228.0,23484.0,267.0,,-0.008672045559432573,-0.008672042935217839
2022-4-15,6798972.583333333,23725.666666666668,"THE QUINN•SQUARE MILE(Block 1),SHAM MONG RD|利奧坊•壹隅1座,深旺道",10536684.0,23572.0,447.0,7124544.0,24738.0,288.0,6535056.0,24754.0,264.0,5849190.0,22938.0,255.0,6097536.0,22752.0,268.0,6365830.0,24022.0,265.0,6026592.0,22828.0,264.0,9355158.0,24426.0,383.0,6174375.0,23125.0,267.0,4849446.0,23541.0,206.0,6348564.0,24324.0,261.0,6324696.0,23688.0,267.0,,0.024569575879755723,0.024568070505000428
2022-3-15,6635930.583333333,23156.75,"THE QUINN•SQUARE MILE(Block 1),SHAM MONG RD|利奧坊•壹隅1座,深旺道",10283682.0,23006.0,447.0,6953760.0,24145.0,288.0,6378504.0,24161.0,264.0,5708940.0,22388.0,255.0,5953352.0,22214.0,268.0,6212925.0,23445.0,265.0,5881392.0,22278.0,264.0,9130720.0,23840.0,383.0,6026190.0,22570.0,267.0,4733056.0,22976.0,206.0,6196140.0,23740.0,261.0,6172506.0,23118.0,267.0,,-0.057461280105062906,-0.05746179050410083
2022-2-15,7040485.916666667,24568.5,"THE QUINN•SQUARE MILE(Block 1),SHAM MONG RD|利奧坊•壹隅1座,深旺道",10910376.0,24408.0,447.0,7377408.0,25616.0,288.0,6767376.0,25634.0,264.0,6057015.0,23753.0,255.0,6318368.0,23576.0,268.0,6591345.0,24873.0,265.0,6239376.0,23634.0,264.0,9687602.0,25294.0,383.0,6393582.0,23946.0,267.0,5021662.0,24377.0,206.0,6573546.0,25186.0,261.0,6548175.0,24525.0,267.0,,-0.011324572613455652,-0.011324652329484763
