,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_C,npsf_C,nfa_C,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2106238.0,15374.0,137.0,,,501.0,,
2019-11-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2172546.0,15858.0,137.0,,,501.0,,
2019-10-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2024312.0,14776.0,137.0,,,501.0,,
2019-9-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2158846.0,15758.0,137.0,,,501.0,,
2019-8-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2252828.0,16444.0,137.0,,,501.0,,
2019-7-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2199124.0,16052.0,137.0,,,501.0,,
2019-6-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2185424.0,15952.0,137.0,,,501.0,,
2019-5-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2184054.0,15942.0,137.0,,,501.0,,
2019-4-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2196110.0,16030.0,137.0,,,501.0,,
2019-3-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2093086.0,15278.0,137.0,,,501.0,,
2019-2-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2142680.0,15640.0,137.0,,,501.0,,
2019-1-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2002940.0,14620.0,137.0,,,501.0,,
2018-12-15,,,2,,,638,4 CEDAR ST|4 柏樹街,1907040.0,13920.0,137.0,,,501.0,,
2018-11-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2071166.0,15118.0,137.0,,,501.0,,
2018-10-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2187479.0,15967.0,137.0,,,501.0,,
2018-9-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2199535.0,16055.0,137.0,,,501.0,,
2018-8-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2203645.0,16085.0,137.0,,,501.0,,
2018-7-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2176245.0,15885.0,137.0,,,501.0,,
2018-6-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2163915.0,15795.0,137.0,,,501.0,,
2018-5-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2158435.0,15755.0,137.0,,,501.0,,
2018-4-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2173231.0,15863.0,137.0,,,501.0,,
2018-3-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2075139.0,15147.0,137.0,,,501.0,,
2018-2-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2056918.0,15014.0,137.0,,,501.0,,
2018-1-15,,,2,,,638,4 CEDAR ST|4 柏樹街,2004584.0,14632.0,137.0,,,501.0,,
2017-12-15,,,2,,,638,4 CEDAR ST|4 柏樹街,1993487.0,14551.0,137.0,,,501.0,,
2017-11-15,,,2,,,638,4 CEDAR ST|4 柏樹街,1962936.0,14328.0,137.0,,,501.0,,
2017-10-15,,,2,,,638,4 CEDAR ST|4 柏樹街,1986226.0,14498.0,137.0,,,501.0,,
2017-9-15,,,2,,,638,4 CEDAR ST|4 柏樹街,1908958.0,13934.0,137.0,,,501.0,,
2017-8-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2017-7-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2017-6-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2017-5-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2017-4-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2017-3-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2017-2-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2017-1-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2016-12-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2016-11-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2016-10-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2016-9-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2016-8-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2016-7-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2016-6-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2016-5-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2016-4-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2016-3-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2016-2-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
2016-1-15,,,2,,,638,4 CEDAR ST|4 柏樹街,,,137.0,,,501.0,,
