,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6161561.545454546,21956.636363636364,"THE QUINN•SQUARE MILE(Block 2),SHAM MONG RD|利奧坊•壹隅2座,深旺道",7317680.0,22310.0,328.0,7028160.0,21963.0,320.0,4781504.0,22988.0,208.0,6425856.0,22312.0,288.0,5291505.0,20751.0,255.0,5472292.0,20419.0,268.0,5972040.0,22536.0,265.0,5627160.0,21315.0,264.0,8455570.0,22135.0,382.0,5954410.0,22990.0,259.0,5451000.0,21804.0,250.0,,0.09358661217394615,0.09356690724356831
2022-11-15,5634269.363636363,20078.0,"THE QUINN•SQUARE MILE(Block 2),SHAM MONG RD|利奧坊•壹隅2座,深旺道",6690216.0,20397.0,328.0,6426880.0,20084.0,320.0,4371952.0,21019.0,208.0,5876352.0,20404.0,288.0,4839135.0,18977.0,255.0,5004900.0,18675.0,268.0,5461385.0,20609.0,265.0,5146680.0,19495.0,264.0,7729006.0,20233.0,382.0,5444957.0,21023.0,259.0,4985500.0,19942.0,250.0,,-0.023754409938522292,-0.024870745415932594
2022-10-15,5771364.7272727275,20590.090909090908,"THE QUINN•SQUARE MILE(Block 2),SHAM MONG RD|利奧坊•壹隅2座,深旺道",6910960.0,21070.0,328.0,6640639.999999999,20752.0,320.0,4525872.0,21759.0,208.0,6071904.0,21083.0,288.0,5000295.0,19609.0,255.0,5172400.0,19300.0,268.0,5549630.0,20942.0,265.0,5318808.0,20147.0,264.0,7659482.0,20051.0,382.0,5482771.0,21169.0,259.0,5152250.0,20609.0,250.0,,-0.08433871317831843,-0.08411883878637905
2022-9-15,6302947.181818182,22481.18181818182,"THE QUINN•SQUARE MILE(Block 2),SHAM MONG RD|利奧坊•壹隅2座,深旺道",7550888.0,23021.0,328.0,7257600.0,22680.0,320.0,4896528.0,23541.0,208.0,6636096.0,23042.0,288.0,5465415.0,21433.0,255.0,5653996.0,21097.0,268.0,6063730.0,22882.0,265.0,5813808.0,22022.0,264.0,8370384.0,21912.0,382.0,5992224.0,23136.0,259.0,5631750.0,22527.0,250.0,,-0.05272068310378275,-0.05320285310637107
2022-8-15,6653736.7272727275,23744.454545454544,"THE QUINN•SQUARE MILE(Block 2),SHAM MONG RD|利奧坊•壹隅2座,深旺道",7744736.0,23612.0,328.0,7688000.0,24025.0,320.0,5187312.0,24939.0,208.0,7029792.0,24409.0,288.0,5789775.0,22705.0,255.0,5990068.0,22351.0,268.0,6421745.0,24233.0,265.0,6159384.0,23331.0,264.0,8866220.0,23210.0,382.0,6347572.0,24508.0,259.0,5966500.0,23866.0,250.0,,0.024975039804534305,0.025247588878813954
2022-7-15,6491608.545454546,23159.727272727272,"THE QUINN•SQUARE MILE(Block 2),SHAM MONG RD|利奧坊•壹隅2座,深旺道",7561384.0,23053.0,328.0,7506240.0,23457.0,320.0,5010096.0,24087.0,208.0,6863904.0,23833.0,288.0,5653350.0,22170.0,255.0,5849636.0,21827.0,268.0,6268310.0,23654.0,265.0,6013656.0,22779.0,264.0,8657266.0,22663.0,382.0,6197352.0,23928.0,259.0,5826500.0,23306.0,250.0,,-0.027598400285751667,-0.02741488443830231
2022-6-15,6675851.363636363,23812.545454545456,"THE QUINN•SQUARE MILE(Block 2),SHAM MONG RD|利奧坊•壹隅2座,深旺道",7791640.0,23755.0,328.0,7734400.0,24170.0,320.0,5162768.0,24821.0,208.0,7105824.0,24673.0,288.0,5825220.0,22844.0,255.0,6028124.0,22493.0,268.0,6457255.0,24367.0,265.0,6106848.0,23132.0,264.0,8921228.0,23354.0,382.0,6296808.0,24312.0,259.0,6004250.0,24017.0,250.0,,0.011555873996033972,0.011542813449752831
2022-5-15,6599587.363636363,23540.81818181818,"THE QUINN•SQUARE MILE(Block 2),SHAM MONG RD|利奧坊•壹隅2座,深旺道",7810336.0,23812.0,328.0,7621440.0,23817.0,320.0,5128448.0,24656.0,208.0,7001568.0,24311.0,288.0,5739540.0,22508.0,255.0,5967020.0,22265.0,268.0,6360265.0,24001.0,265.0,6016824.0,22791.0,264.0,8790202.0,23011.0,382.0,6203568.0,23952.0,259.0,5956250.0,23825.0,250.0,,-0.008493914209939613,-0.008439497153010067
2022-4-15,6656123.909090909,23741.18181818182,"THE QUINN•SQUARE MILE(Block 2),SHAM MONG RD|利奧坊•壹隅2座,深旺道",7878560.0,24020.0,328.0,7696640.0,24052.0,320.0,5172960.0,24870.0,208.0,7062624.0,24523.0,288.0,5789775.0,22705.0,255.0,6018476.0,22457.0,268.0,6415385.0,24209.0,265.0,6069096.0,22989.0,264.0,8868130.0,23215.0,382.0,6258217.0,24163.0,259.0,5987500.0,23950.0,250.0,,0.024562553965689737,0.024571383734159902
2022-3-15,6496552.0,23171.81818181818,"THE QUINN•SQUARE MILE(Block 2),SHAM MONG RD|利奧坊•壹隅2座,深旺道",7689632.0,23444.0,328.0,7512640.0,23477.0,320.0,5048368.0,24271.0,208.0,6893568.0,23936.0,288.0,5650800.0,22160.0,255.0,5873220.0,21915.0,268.0,6261950.0,23630.0,265.0,5923368.0,22437.0,264.0,8656502.0,22661.0,382.0,6108774.0,23586.0,259.0,5843250.0,23373.0,250.0,,-0.05744785065299851,-0.0574396408589507
2022-2-15,6892512.0,24583.909090909092,"THE QUINN•SQUARE MILE(Block 2),SHAM MONG RD|利奧坊•壹隅2座,深旺道",8158672.0,24874.0,328.0,7970880.000000001,24909.0,320.0,5355584.0,25748.0,208.0,7313760.0,25395.0,288.0,5995050.0,23510.0,255.0,6230464.0,23248.0,268.0,6643815.0,25071.0,265.0,6283992.0,23803.0,264.0,9185190.0,24045.0,382.0,6481475.0,25025.0,259.0,6198750.0,24795.0,250.0,,-0.011316953647990569,-0.01130829640679143
