,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_E,npsf_E,nfa_E,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,nfa_avg,lumpSum_change,npsf_change
2020-12-15,5460753.166666667,22303.5,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",7946946.0,19242.0,413.0,5392751.0,21833.0,247.0,5761683.0,22419.0,257.0,4653616.0,24112.0,193.0,4575644.0,23708.0,193.0,4433879.0,22507.0,197.0,,-0.05301089583825347,-0.05419502576171997
2020-11-15,5766437.166666667,23581.5,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8311212.0,20124.0,413.0,5712369.0,23127.0,247.0,6102722.0,23746.0,257.0,4929413.0,25541.0,193.0,4846230.0,25110.0,193.0,4696677.0,23841.0,197.0,,0.003758994952399952,0.0037528376844495615
2020-10-15,5744842.333333333,23493.333333333332,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8279824.0,20048.0,413.0,5691127.0,23041.0,247.0,6079592.0,23656.0,257.0,4911078.0,25446.0,193.0,4827895.0,25015.0,193.0,4679538.0,23754.0,197.0,,-0.023317316846711567,-0.02338986808557819
2020-9-15,5881994.666666667,24056.0,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8487150.0,20550.0,413.0,5834634.0,23622.0,247.0,6188560.0,24080.0,257.0,5034984.0,26088.0,193.0,4949099.0,25643.0,193.0,4797541.0,24353.0,197.0,,-0.03103627239326978,-0.033138401559454245
2020-8-15,6070397.166666667,24880.5,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8611463.0,20851.0,413.0,6053476.0,24508.0,247.0,6421145.0,24985.0,257.0,5224124.0,27068.0,193.0,5134379.0,26603.0,193.0,4977796.0,25268.0,197.0,,0.07664132350230801,0.07815919284130546
2020-7-15,5638272.5,23076.833333333332,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8061760.0,19520.0,413.0,5629871.0,22793.0,247.0,5972937.0,23241.0,257.0,4759380.0,24660.0,193.0,4775399.0,24743.0,193.0,4630288.0,23504.0,197.0,,0.001377493521242723,0.0033478503467416765
2020-6-15,5630516.5,22999.833333333332,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8179465.0,19805.0,413.0,5597020.0,22660.0,247.0,5923336.0,23048.0,257.0,4731781.0,24517.0,193.0,4747607.0,24599.0,193.0,4603890.0,23370.0,197.0,,-0.047936267068326766,-0.04792162544413403
2020-5-15,5914012.166666667,24157.5,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8592465.0,20805.0,413.0,5878106.0,23798.0,247.0,6221456.0,24208.0,257.0,4969943.0,25751.0,193.0,4986541.0,25837.0,193.0,4835562.0,24546.0,197.0,,-0.009619543020909171,-0.009620574911344493
2020-4-15,5971454.833333333,24392.166666666668,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8675891.0,21007.0,413.0,5934916.0,24028.0,247.0,6282108.0,24444.0,257.0,5018386.0,26002.0,193.0,5035177.0,26089.0,193.0,4882251.0,24783.0,197.0,,0.03382066784991333,0.033821919259704014
2020-3-15,5776103.166666667,23594.166666666668,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8392160.0,20320.0,413.0,5740527.0,23241.0,247.0,6076765.0,23645.0,257.0,4854336.0,25152.0,193.0,4870741.0,25237.0,193.0,4722090.0,23970.0,197.0,,0.045837784210606136,0.045840721040189214
2020-2-15,5522943.666666667,22560.0,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8024590.0,19430.0,413.0,5488587.0,22221.0,247.0,5810513.0,22609.0,257.0,4641650.0,24050.0,193.0,4657476.0,24132.0,193.0,4514846.0,22918.0,197.0,,-0.028237156774381877,-0.028235446145893905
2020-1-15,5683427.5,23215.5,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8257935.0,19995.0,413.0,5647902.0,22866.0,247.0,5979362.0,23266.0,257.0,4776750.0,24750.0,193.0,4792962.0,24834.0,193.0,4645654.0,23582.0,197.0,,-0.03510198378613372,-0.035099750623441395
2019-12-15,5890184.666666667,24060.0,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8558599.0,20723.0,413.0,5852912.0,23696.0,247.0,6197041.0,24113.0,257.0,4950643.0,25651.0,193.0,4967627.0,25739.0,193.0,4814286.0,24438.0,197.0,,-0.034302499985107815,-0.03430375682329023
