,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,13074096.285714285,24355.85714285714,7,91518674,170491,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",18820304.0,25027.0,752.0,12071094.0,24094.0,501.0,12865484.0,25276.0,509.0,11534000.0,23068.0,500.0,12945555.0,25235.0,513.0,12224918.0,24898.0,491.0,11057319.0,22893.0,483.0,-0.023838992879073206,-0.02385246511734429
2019-11-15,13393381.0,24951.0,7,93753667,174657,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",19276768.0,25634.0,752.0,12369189.0,24689.0,501.0,13170884.0,25876.0,509.0,11818000.0,23636.0,500.0,13264128.0,25856.0,513.0,12527865.0,25515.0,491.0,11326833.0,23451.0,483.0,-0.041948633573797744,-0.043389436901286604
2019-10-15,13979815.142857144,26082.714285714286,7,97858706,182579,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",19741504.0,26252.0,752.0,12929808.0,25808.0,501.0,13754707.0,27023.0,509.0,12352500.0,24705.0,500.0,13863825.0,27025.0,513.0,13096443.0,26673.0,491.0,12119919.0,25093.0,483.0,0.014655632564136933,0.014694195126017773
2019-9-15,13777891.42857143,25705.0,7,96445240,179935,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",19467776.0,25888.0,752.0,12689829.0,25329.0,501.0,13556197.0,26633.0,509.0,12184500.0,24369.0,500.0,13675041.0,26657.0,513.0,12913300.0,26300.0,491.0,11958597.0,24759.0,483.0,-0.06288629002410262,-0.06287270776586262
2019-8-15,14702475.57142857,27429.571428571428,7,102917329,192007,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",20779264.0,27632.0,752.0,13533012.0,27012.0,501.0,14460690.0,28410.0,509.0,12992000.0,25984.0,500.0,14599980.0,28460.0,513.0,13780897.0,28067.0,491.0,12771486.0,26442.0,483.0,0.0013942918966145523,0.0013977333771428846
2019-7-15,14682004.57142857,27391.285714285714,7,102774032,191739,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",20752192.0,27596.0,752.0,13503453.0,26953.0,501.0,14433713.0,28357.0,509.0,12977500.0,25955.0,500.0,14584590.0,28430.0,513.0,13760275.0,28025.0,491.0,12762309.0,26423.0,483.0,0.012605113883801478,0.013157268994816285
2019-6-15,14499240.0,27035.571428571428,7,101494680,189249,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",20654432.0,27466.0,752.0,12643737.0,25237.0,501.0,14357872.0,28208.0,509.0,12918500.0,25837.0,500.0,14518926.0,28302.0,513.0,13692517.0,27887.0,491.0,12708696.0,26312.0,483.0,-0.03312858940651775,-0.03313169914271408
2019-5-15,14996037.57142857,27962.0,7,104972263,195734,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",21362064.0,28407.0,752.0,13072593.0,26093.0,501.0,14841931.0,29159.0,509.0,13364000.0,26728.0,500.0,15020127.0,29279.0,513.0,14159458.0,28838.0,491.0,13152090.0,27230.0,483.0,0.07825875883515998,0.07825789960777407
2019-4-15,13907642.714285715,25932.571428571428,7,97353499,181528,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",19812192.0,26346.0,752.0,12119691.0,24191.0,501.0,13757761.0,27029.0,509.0,12396500.0,24793.0,500.0,13933080.0,27160.0,513.0,13129831.0,26741.0,491.0,12204444.0,25268.0,483.0,0.0968707823820334,0.09642854985715421
2019-3-15,12679381.142857144,23651.85714285714,7,88755668,165563,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",17963776.0,23888.0,752.0,11061078.0,22078.0,501.0,12553467.0,24663.0,509.0,11319500.0,22639.0,500.0,12723939.0,24803.0,513.0,11984819.0,24409.0,491.0,11149089.0,23083.0,483.0,-0.017262968363457643,-0.018507869697957702
2019-2-15,12902109.857142856,24097.85714285714,7,90314769,168685,3749,"ONE HOMANTIN(Block 3),SHEUNG FOO ST|ONE HOMANTIN3座,常富街",17961520.0,23885.0,752.0,11057070.0,22070.0,501.0,13322566.0,26174.0,509.0,11320500.0,22641.0,500.0,12722400.0,24800.0,513.0,12776311.0,26021.0,491.0,11154402.0,23094.0,483.0,0.007053787837649317,0.007507704804453175
