,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,nfa_avg,lumpSum_change,npsf_change
2022-12-15,9760064.4,27643.2,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",11796416.0,27056.0,436.0,8077071.0,26657.0,303.0,9614115.0,27867.0,345.0,9580272.0,28344.0,338.0,9732448.0,28292.0,344.0,,0.008794250555675731,0.008765463635368453
2022-11-15,9674980.2,27403.0,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",11678260.0,26785.0,436.0,7995563.999999999,26388.0,303.0,9585135.0,27783.0,345.0,9483942.0,28059.0,338.0,9632000.0,28000.0,344.0,,0.05593887761423977,0.05593532526183553
2022-10-15,9162443.4,25951.4,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",11060012.0,25367.0,436.0,7573788.0,24996.0,303.0,9075915.0,26307.0,345.0,8980998.0,26571.0,338.0,9121504.0,26516.0,344.0,,-0.06658114510586688,-0.06658370080496057
2022-9-15,9816004.2,27802.6,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",11849608.0,27178.0,436.0,8116158.0,26786.0,303.0,9721065.0,28177.0,345.0,9620494.0,28463.0,338.0,9772696.0,28409.0,344.0,,-0.04905669874942886,-0.04906112118206385
2022-8-15,10322386.4,29237.0,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",12461316.0,28581.0,436.0,8537328.0,28176.0,303.0,10220280.0,29624.0,345.0,10115664.0,29928.0,338.0,10277344.0,29876.0,344.0,,-0.0501000900466253,-0.050648119285120474
2022-7-15,10866814.8,30796.8,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",13065176.0,29966.0,436.0,9141510.0,30170.0,303.0,10590120.0,30696.0,345.0,10535460.0,31170.0,338.0,11001808.0,31982.0,344.0,,0.03848124532259778,0.0382227016822303
2022-6-15,10464141.6,29663.0,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",12562904.0,28814.0,436.0,8870022.0,29274.0,303.0,10182330.0,29514.0,345.0,10129860.0,29970.0,338.0,10575592.0,30743.0,344.0,,-0.060046699165639206,-0.06020302123992505
2022-5-15,11132618.6,31563.2,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",13328520.0,30570.0,436.0,9444813.0,31171.0,303.0,10841970.0,31426.0,345.0,10785918.0,31911.0,338.0,11261872.0,32738.0,344.0,,-0.01708858817088943,-0.017090184354758287
2022-4-15,11326166.8,32112.0,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",13559600.0,31100.0,436.0,9608736.0,31712.0,303.0,11029650.0,31970.0,345.0,10972832.0,32464.0,338.0,11460016.0,33314.0,344.0,,0.019398583134240477,0.01939620964413824
2022-3-15,11110636.2,31501.0,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",13300616.0,30506.0,436.0,9425421.0,31107.0,303.0,10819200.0,31360.0,345.0,10763272.0,31844.0,338.0,11244672.0,32688.0,344.0,,0.0495879918138713,0.04958551018232216
2022-2-15,10585712.0,30012.8,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",12670596.0,29061.0,436.0,8978799.0,29633.0,303.0,10311705.0,29889.0,345.0,10252892.0,30334.0,338.0,10714567.999999998,31147.0,344.0,,0.0723632932599334,0.07236061684460271
2022-1-15,9871386.0,27987.6,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",11814728.000000002,27098.0,436.0,8372496.0,27632.0,303.0,9615150.0,27870.0,345.0,9560668.0,28286.0,338.0,9993888.0,29052.0,344.0,,-0.03265325633458971,-0.032655431281193525
2021-12-15,10204599.4,28932.4,"PRINCE CENTRAL,PRINCE EDWARD RD W|PRINCE CENTRAL,太子道西",12212796.0,28011.0,436.0,8654892.0,28564.0,303.0,9939105.0,28809.0,345.0,9882444.0,29238.0,338.0,10333760.0,30040.0,344.0,,-0.039115712203848796,-0.03911631274451843
