,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_E,npsf_E,nfa_E,lumpSum_G,npsf_G,nfa_G,nfa_avg,lumpSum_change,npsf_change
2020-12-15,14883464.4,32087.8,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",20346639.0,35141.0,579.0,16207578.0,31049.0,522.0,10223406.0,29893.0,342.0,10967685.000000002,33135.0,331.0,16672014.0,31221.0,534.0,,0.040348085427814206,0.04035249260777096
2017-3-15,,,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,,
2017-2-15,,,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,,
2017-1-15,,,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,,
2016-12-15,,,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,,
2016-11-15,,,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,,
2016-10-15,,,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,,
2016-9-15,,,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,,
2016-8-15,,,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,,
2016-7-15,,,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,,
2016-6-15,,,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,,
2016-5-15,,,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,,
2016-4-15,,,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,,
2016-3-15,,,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,,
2016-2-15,,,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,,
2016-1-15,,,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,461.6,,
