,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,39611258.5,28022.5,2,79222517.0,56045.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",40917092.00000001,29164.0,1403.0,38305425.0,26881.0,1425.0,-0.023758224363078284,-0.023759340869898393
2019-11-15,40575254.5,28704.5,2,81150509.0,57409.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",41918834.0,29878.0,1403.0,39231675.0,27531.0,1425.0,-0.0429115662320797,-0.04291215844489271
2019-10-15,42394467.5,29991.5,2,84788935.0,59983.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",43801660.0,31220.0,1403.0,40987275.0,28763.0,1425.0,0.014169145993904397,0.014168568771662837
2019-9-15,41802166.5,29572.5,2,83604333.0,59145.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",43192758.00000001,30786.0,1403.0,40411575.0,28359.0,1425.0,-0.0630489641932348,-0.063049504950495
2019-8-15,44615102.5,31562.5,2,89230205.0,63125.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",46102580.0,32860.0,1403.0,43127624.99999999,30265.0,1425.0,0.0013806856588070016,0.0013801199276626264
2019-7-15,44553588.0,31519.0,2,89107176.0,63038.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",46042251.0,32817.0,1403.0,43064925.0,30221.0,1425.0,0.00484642040958172,0.004845857110976404
2019-6-15,44338704.0,31367.0,2,88677408.0,62734.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",45823383.0,32661.0,1403.0,42854025.0,30073.0,1425.0,-0.033075814458442654,-0.03307644882860661
2019-5-15,45855409.0,32440.0,2,91710818.0,64880.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",47394743.0,33781.0,1403.0,44316075.0,31099.0,1425.0,0.07831472117506211,0.07831405398218316
2019-4-15,42525070.0,30084.0,2,85050140.0,60168.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",43955990.0,31330.0,1403.0,41094150.0,28838.0,1425.0,0.09539839155339358,0.09539761141858438
2019-3-15,38821556.0,27464.0,2,77643112.0,54928.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",40131412.0,28604.0,1403.0,37511700.0,26324.0,1425.0,0.0001098479512686712,0.00010924583955418399
2019-2-15,38817292.0,27461.0,2,77634584.0,54922.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",40130009.0,28603.0,1403.0,37504575.0,26319.0,1425.0,-0.0016717121511252708,-0.0016723015959574372
2019-1-15,38882292.0,27507.0,2,77764584.0,55014.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",40200159.0,28653.0,1403.0,37564425.0,26361.0,1425.0,-0.07756475793373874,-0.07756539235412474
2018-12-15,42151785.0,29820.0,2,84303570.0,59640.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",43584195.0,31065.0,1403.0,40719375.0,28575.0,1425.0,0.03496817865431323,0.03496746203904566
2018-11-15,40727614.5,28812.5,2,81455229.0,57625.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",42115254.0,30018.0,1403.0,39339975.0,27607.0,1425.0,0.03935650698186466,0.039355734718539814
2018-10-15,39185413.5,27721.5,2,78370827.0,55443.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",40524252.00000001,28884.0,1403.0,37846575.0,26559.0,1425.0,0.0035846430708910137,0.0035840347542763773
2018-9-15,39045449.5,27622.5,2,78090899.0,55245.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",40382549.0,28783.0,1403.0,37708350.0,26462.0,1425.0,-0.06737391689010697,-0.06737456951853604
2018-8-15,41866135.0,29618.0,2,83732270.0,59236.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",43303595.0,30865.0,1403.0,40428675.0,28371.0,1425.0,0.014593833220369445,0.014593039188818935
2018-7-15,41263936.0,29192.0,2,82527872.0,58384.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",42684872.0,30424.0,1403.0,39843000.0,27960.0,1425.0,-0.022092012293022045,-0.02209269215952292
2018-6-15,42196133.5,29851.5,2,84392267.0,59703.0,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",43652942.0,31114.0,1403.0,40739325.0,28589.0,1425.0,,
2018-5-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2018-4-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2018-3-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2018-2-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2018-1-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2017-12-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2017-11-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2017-10-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2017-9-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2017-8-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2017-7-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2017-6-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2017-5-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2017-4-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2017-3-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2017-2-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2017-1-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2016-12-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2016-11-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2016-10-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2016-9-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2016-8-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2016-7-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2016-6-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2016-5-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2016-4-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2016-3-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
2016-2-15,,,2,,,2828,"GRAND HOMM(Block 2),SHEUNG SHING ST|傲玟2座,常盛街",,,1403.0,,,1425.0,,
