,A,E,H,J,K,L,M
1.0,13541990,12563856,15747920,18658112,17341770,9247700,13016280
2.0,14349874,13313144,16687220,19771136,13828480,9799790,13792830
3.0,15157758,16156192,17626520,20884160,20561910,10351110,15493920
