,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,nfa_avg,lumpSum_change,npsf_change
2020-12-15,9194953.375,15012.75,"MEI CHEUNG COURT(Block 20,Phase 3,SOUTH HORIZONS),20 SOUTH HORIZON DR|海怡半島,3期,20座(美祥閣),20 海怡路",8428001.0,14309.0,589.0,8726690.0,14791.0,590.0,8841150.0,14985.0,590.0,8757380.0,14620.0,599.0,9652480.0,15082.0,640.0,9495000.0,15192.0,625.0,9497500.0,15196.0,625.0,10161426.0,15927.0,638.0,,-0.05503103974141321,-0.055029269213822674
2020-11-15,9730429.0,15887.0,"MEI CHEUNG COURT(Block 20,Phase 3,SOUTH HORIZONS),20 SOUTH HORIZON DR|海怡半島,3期,20座(美祥閣),20 海怡路",8918049.0,15141.0,589.0,9234680.0,15652.0,590.0,9356220.0,15858.0,590.0,9265931.0,15469.0,599.0,10213760.0,15959.0,640.0,10048125.0,16077.0,625.0,10050625.0,16081.0,625.0,10756042.0,16859.0,638.0,,0.02646444661408376,0.026474341372013654
2020-10-15,9479557.75,15477.25,"MEI CHEUNG COURT(Block 20,Phase 3,SOUTH HORIZONS),20 SOUTH HORIZON DR|海怡半島,3期,20座(美祥閣),20 海怡路",8685394.0,14746.0,589.0,8996910.0,15249.0,590.0,9109010.0,15439.0,590.0,9025732.0,15068.0,599.0,9951360.0,15549.0,640.0,9789375.0,15663.0,625.0,9791875.0,15667.0,625.0,10486806.0,16437.0,638.0,,-0.03214038560182442,-0.03215014343669631
2020-9-15,9794352.0,15991.375,"MEI CHEUNG COURT(Block 20,Phase 3,SOUTH HORIZONS),20 SOUTH HORIZON DR|海怡半島,3期,20座(美祥閣),20 海怡路",8961635.0,15215.0,589.0,9287780.0,15742.0,590.0,9404010.0,15939.0,590.0,9377345.0,15655.0,599.0,10273280.0,16052.0,640.0,10106875.0,16171.0,625.0,10109375.0,16175.0,625.0,10834516.0,16982.0,638.0,,0.04170130703343,0.04163070559689941
2020-8-15,9402265.25,15352.25,"MEI CHEUNG COURT(Block 20,Phase 3,SOUTH HORIZONS),20 SOUTH HORIZON DR|海怡半島,3期,20座(美祥閣),20 海怡路",8677737.0,14733.0,589.0,8998090.0,15251.0,590.0,8827580.0,14962.0,590.0,9082038.0,15162.0,599.0,9595520.0,14993.0,640.0,9766875.0,15627.0,625.0,9766250.0,15626.0,625.0,10504032.0,16464.0,638.0,,-0.01115105548259443,-0.010983878500909983
2020-7-15,9508292.75,15522.75,"MEI CHEUNG COURT(Block 20,Phase 3,SOUTH HORIZONS),20 SOUTH HORIZON DR|海怡半島,3期,20座(美祥閣),20 海怡路",8735459.0,14831.0,589.0,9062400.0,15360.0,590.0,8890710.0,15069.0,590.0,9145532.0,15268.0,599.0,9660800.0,15095.0,640.0,9836875.0,15739.0,625.0,9836250.0,15738.0,625.0,10898316.0,17082.0,638.0,,-0.030026973611307906,-0.029911491981157834
2020-6-15,9802636.25,16001.375,"MEI CHEUNG COURT(Block 20,Phase 3,SOUTH HORIZONS),20 SOUTH HORIZON DR|海怡半島,3期,20座(美祥閣),20 海怡路",9014056.0,15304.0,589.0,9189840.0,15576.0,590.0,9178040.0,15556.0,590.0,9439641.0,15759.0,599.0,10037120.0,15683.0,640.0,10155625.0,16249.0,625.0,10155000.0,16248.0,625.0,11251768.0,17636.0,638.0,,0.005503793800784695,0.0053956834532373765
2020-5-15,9748979.875,15915.5,"MEI CHEUNG COURT(Block 20,Phase 3,SOUTH HORIZONS),20 SOUTH HORIZON DR|海怡半島,3期,20座(美祥閣),20 海怡路",8984606.0,15254.0,589.0,9163290.0,15531.0,590.0,9152080.0,15512.0,590.0,9410889.0,15711.0,599.0,9806080.0,15322.0,640.0,10127500.0,16204.0,625.0,10126250.0,16202.0,625.0,11221144.0,17588.0,638.0,,0.05637546092926504,0.05638523828487996
2020-4-15,9228707.25,15066.0,"MEI CHEUNG COURT(Block 20,Phase 3,SOUTH HORIZONS),20 SOUTH HORIZON DR|海怡半島,3期,20座(美祥閣),20 海怡路",8504571.0,14439.0,589.0,8679490.0,14711.0,590.0,8665920.0,14688.0,590.0,8886764.0,14836.0,599.0,9285760.0,14509.0,640.0,9590625.0,15345.0,625.0,9590000.0,15344.0,625.0,10626528.0,16656.0,638.0,,-0.031384570995969585,-0.03140570252981456
2020-3-15,9527731.0,15554.5,"MEI CHEUNG COURT(Block 20,Phase 3,SOUTH HORIZONS),20 SOUTH HORIZON DR|海怡半島,3期,20座(美祥閣),20 海怡路",8772566.0,14894.0,589.0,9009300.0,15270.0,590.0,8940270.0,15153.0,590.0,9162903.0,15297.0,599.0,9580800.0,14970.0,640.0,9893750.0,15830.0,625.0,9893125.0,15829.0,625.0,10969134.0,17193.0,638.0,,0.02098162820118099,0.020988201316070265
2020-2-15,9331931.875,15234.75,"MEI CHEUNG COURT(Block 20,Phase 3,SOUTH HORIZONS),20 SOUTH HORIZON DR|海怡半島,3期,20座(美祥閣),20 海怡路",8589976.0,14584.0,589.0,8822860.0,14954.0,590.0,8756190.0,14841.0,590.0,8971822.0,14978.0,599.0,9384320.0,14663.0,640.0,9690625.0,15505.0,625.0,9690000.0,15504.0,625.0,10749662.0,16849.0,638.0,,-0.00017858867138464962,-0.00017227376762729563
2020-1-15,9333598.75,15237.375,"MEI CHEUNG COURT(Block 20,Phase 3,SOUTH HORIZONS),20 SOUTH HORIZON DR|海怡半島,3期,20座(美祥閣),20 海怡路",8589387.0,14583.0,589.0,8823450.0,14955.0,590.0,8757370.0,14843.0,590.0,8970025.0,14975.0,599.0,9386240.0,14666.0,640.0,9693125.0,15509.0,625.0,9691875.0,15507.0,625.0,10757318.0,16861.0,638.0,,-0.05377781937657711,-0.05368205319297592
2019-12-15,9864066.75,16101.75,"MEI CHEUNG COURT(Block 20,Phase 3,SOUTH HORIZONS),20 SOUTH HORIZON DR|海怡半島,3期,20座(美祥閣),20 海怡路",9032315.0,15335.0,589.0,9279520.0,15728.0,590.0,9210490.0,15611.0,590.0,9431854.0,15746.0,599.0,9873920.0,15428.0,640.0,10196250.0,16314.0,625.0,10566875.0,16907.0,625.0,11321310.0,17745.0,638.0,,0.03832543892742457,0.03847921251844144
2019-11-15,9499976.0,15505.125,"MEI CHEUNG COURT(Block 20,Phase 3,SOUTH HORIZONS),20 SOUTH HORIZON DR|海怡半島,3期,20座(美祥閣),20 海怡路",8693640.0,14760.0,589.0,8933190.0,15141.0,590.0,8867110.0,15029.0,590.0,8835849.0,14751.0,599.0,9506560.0,14854.0,640.0,10079375.0,16127.0,625.0,10178750.0,16286.0,625.0,10905334.0,17093.0,638.0,,-0.08974108422195493,-0.08973427558725755
