,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5918278.115892819,13717.0,4 PING LAN ST|4 平瀾街,5918278.115892819,13717.0,501.0,,-0.01577205013041183,-0.054717111157053244
2022-11-15,6013117.303442765,14511.0,4 PING LAN ST|4 平瀾街,6013117.303442765,14511.0,501.0,,-0.018686081155394385,0.013479536248079294
2022-10-15,6127618.479642662,14318.0,4 PING LAN ST|4 平瀾街,6127618.479642662,14318.0,501.0,,,
2022-9-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2022-8-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2022-7-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2022-6-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2022-5-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2022-4-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2022-3-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2022-2-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2022-1-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2021-12-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2021-11-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2021-10-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2021-9-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2021-8-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2021-7-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2021-6-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2021-5-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2021-4-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2021-3-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2021-2-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2021-1-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2020-12-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2020-11-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2020-10-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2020-9-15,7087146.0,14146.0,4 PING LAN ST|4 平瀾街,7087146.0,14146.0,501.0,,0.03762928188953274,0.03762928188953274
2020-8-15,6830133.0,13633.0,4 PING LAN ST|4 平瀾街,6830133.0,13633.0,501.0,,-0.029334282662869304,-0.029334282662869304
2020-7-15,7036545.0,14045.0,4 PING LAN ST|4 平瀾街,7036545.0,14045.0,501.0,,0.001783166904422151,0.001783166904422151
2020-6-15,7024020.0,14020.0,4 PING LAN ST|4 平瀾街,7024020.0,14020.0,501.0,,-0.015518573133909142,-0.015518573133909142
2020-5-15,7134741.0,14241.0,4 PING LAN ST|4 平瀾街,7134741.0,14241.0,501.0,,0.033754355400696934,0.033754355400696934
2020-4-15,6901776.0,13776.0,4 PING LAN ST|4 平瀾街,6901776.0,13776.0,501.0,,-0.023809523809523836,-0.023809523809523836
2020-3-15,7070112.0,14112.0,4 PING LAN ST|4 平瀾街,7070112.0,14112.0,501.0,,0.0339218990402228,0.0339218990402228
2020-2-15,6838149.0,13649.0,4 PING LAN ST|4 平瀾街,6838149.0,13649.0,501.0,,-0.02943895328166113,-0.02943895328166113
2020-1-15,7045563.0,14063.0,4 PING LAN ST|4 平瀾街,7045563.0,14063.0,501.0,,0.02522417438215352,0.02522417438215352
2019-12-15,6872217.0,13717.0,4 PING LAN ST|4 平瀾街,6872217.0,13717.0,501.0,,-0.054717111157053244,-0.054717111157053244
2019-11-15,7270011.0,14511.0,4 PING LAN ST|4 平瀾街,7270011.0,14511.0,501.0,,0.013479536248079294,0.013479536248079294
2019-10-15,7173318.0,14318.0,4 PING LAN ST|4 平瀾街,7173318.0,14318.0,501.0,,,
2019-9-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2019-8-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2019-7-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2019-6-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2019-5-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2019-4-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2019-3-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2019-2-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2019-1-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2018-12-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2018-11-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2018-10-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2018-9-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2018-8-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2018-7-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2018-6-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2018-5-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2018-4-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2018-3-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2018-2-15,,,4 PING LAN ST|4 平瀾街,,,501.0,,,
2018-1-15,,,4 PING LAN ST|4 平瀾街,,,501.0,501.0,,
