,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2141648.0202106624,4215.0,22 WU PAK ST|22 湖北街,2141648.0202106624,4215.0,590.0,,-0.015775879929927905,-0.05472078941466696
2022-11-15,2175975.9556168844,4459.0,22 WU PAK ST|22 湖北街,2175975.9556168844,4459.0,590.0,,-0.018531229629670576,0.013639463514435013
2022-10-15,2217060.8187521254,4399.0,22 WU PAK ST|22 湖北街,2217060.8187521254,4399.0,590.0,,-0.03668220624221641,-0.0006815084052703702
2022-9-15,2301484.342050452,4402.0,22 WU PAK ST|22 湖北街,2301484.342050452,4402.0,590.0,,-0.040801044215836746,-0.046979865771812124
2022-8-15,2399381.617517447,4619.0,22 WU PAK ST|22 湖北街,2399381.617517447,4619.0,590.0,,0.0013035991005088121,0.018298059964726665
2022-7-15,2396257.8579292633,4536.0,22 WU PAK ST|22 湖北街,2396257.8579292633,4536.0,590.0,,-0.03853195683637445,0.0037618942243859976
2022-6-15,2492290.6954292404,4519.0,22 WU PAK ST|22 湖北街,2492290.6954292404,4519.0,590.0,,-0.004973354720488432,-0.011592300962379731
2022-5-15,2504747.6941978117,4572.0,22 WU PAK ST|22 湖北街,2504747.6941978117,4572.0,590.0,,,
2022-4-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2022-3-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2022-2-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2022-1-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2021-12-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2021-11-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2021-10-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2021-9-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2021-8-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2021-7-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2021-6-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2021-5-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2021-4-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2021-3-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2021-2-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2021-1-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2020-12-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2020-11-15,2481540.0,4206.0,22 WU PAK ST|22 湖北街,2481540.0,4206.0,590.0,,-0.022542412270508905,-0.022542412270508905
2020-10-15,2538770.0,4303.0,22 WU PAK ST|22 湖北街,2538770.0,4303.0,590.0,,-0.00989415554532902,-0.00989415554532902
2020-9-15,2564140.0,4346.0,22 WU PAK ST|22 湖北街,2564140.0,4346.0,590.0,,0.03747911195989495,0.03747911195989495
2020-8-15,2471510.0,4189.0,22 WU PAK ST|22 湖北街,2471510.0,4189.0,590.0,,-0.02942539388322518,-0.02942539388322518
2020-7-15,2546440.0,4316.0,22 WU PAK ST|22 湖北街,2546440.0,4316.0,590.0,,0.0018570102135562205,0.0018570102135562205
2020-6-15,2541720.0,4308.0,22 WU PAK ST|22 湖北街,2541720.0,4308.0,590.0,,-0.015539305301645379,-0.015539305301645379
2020-5-15,2581840.0,4376.0,22 WU PAK ST|22 湖北街,2581840.0,4376.0,590.0,,0.033782187573824674,0.033782187573824674
2020-4-15,2497470.0,4233.0,22 WU PAK ST|22 湖北街,2497470.0,4233.0,590.0,,-0.02375461254612543,-0.02375461254612543
2020-3-15,2558240.0,4336.0,22 WU PAK ST|22 湖北街,2558240.0,4336.0,590.0,,0.03385789222699098,0.03385789222699098
2020-2-15,2474460.0,4194.0,22 WU PAK ST|22 湖北街,2474460.0,4194.0,590.0,,-0.02939134459615833,-0.02939134459615833
2020-1-15,2549390.0,4321.0,22 WU PAK ST|22 湖北街,2549390.0,4321.0,590.0,,0.025148279952550423,0.025148279952550423
2019-12-15,2486850.0,4215.0,22 WU PAK ST|22 湖北街,2486850.0,4215.0,590.0,,-0.05472078941466696,-0.05472078941466696
2019-11-15,2630810.0,4459.0,22 WU PAK ST|22 湖北街,2630810.0,4459.0,590.0,,0.013639463514435013,0.013639463514435013
2019-10-15,2595410.0,4399.0,22 WU PAK ST|22 湖北街,2595410.0,4399.0,590.0,,-0.0006815084052703702,-0.0006815084052703702
2019-9-15,2597180.0,4402.0,22 WU PAK ST|22 湖北街,2597180.0,4402.0,590.0,,-0.046979865771812124,-0.046979865771812124
2019-8-15,2725210.0,4619.0,22 WU PAK ST|22 湖北街,2725210.0,4619.0,590.0,,0.018298059964726665,0.018298059964726665
2019-7-15,2676240.0,4536.0,22 WU PAK ST|22 湖北街,2676240.0,4536.0,590.0,,0.0037618942243859976,0.0037618942243859976
2019-6-15,2666210.0,4519.0,22 WU PAK ST|22 湖北街,2666210.0,4519.0,590.0,,-0.011592300962379731,-0.011592300962379731
2019-5-15,2697480.0,4572.0,22 WU PAK ST|22 湖北街,2697480.0,4572.0,590.0,,,
2019-4-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2019-3-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2019-2-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2019-1-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2018-12-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2018-11-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2018-10-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2018-9-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2018-8-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2018-7-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2018-6-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2018-5-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2018-4-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2018-3-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2018-2-15,,,22 WU PAK ST|22 湖北街,,,590.0,,,
2018-1-15,,,22 WU PAK ST|22 湖北街,,,590.0,590.0,,
