,1,10,11,12,13,14,15,16,17,18,2,3,4,5,6,7,8,9
3.0,4077030,3195640,3219440,3568040,3155880,3664320,3529400,4280615,3746800,4045580,3845820,3439744,3097250,3141250,3195640,3195640,3195640,3214120
7.0,4188400,3283560,3295880,3668280,3205720,3700950,3620120,4397140,3849140,4155840,3945480,3852200,3309270,3226250,3283560,3283560,3283560,3315480
11.0,4427420,3387720,3409840,3368680,3287200,3864630,3387720,4514850,3952160,4267210,4048440,3955220,3412200,3327000,3387720,3387720,3387720,3384920
