,A,B,C,D,E,F,H,J
10.0,4240842,4262544,5650515,3245836,3245836,3650836,4089888,4369302
20.0,4440678,4463472,5857878,3365684,3365684,3902318,4282784,4575690
30.0,4603548,4626864,6071832,3488940,3488940,4045286,4439776,4743522
