,1,10,11,12,3,5,6,7,9,B OF 2
2.0,9316,9836,9886,10148,9260,9554,9954,9632,9756,
4.0,9436,9966,10005,10266,9256,9696,10074,10077,9888,
6.0,9663,10295,10275,10391,9354,10031,10403,10218,10020,
